Language,title,bookformat,id,author,GoodReadAverageRating,NumberofRatings,bookEdition,description,numberofpages
English,The Time-Traveller's Guide to Medieval England: A Handbook for Visitors to the Fourteenth Century,Audiobook,4936457,Ian Mortimer,3.99,12246,first edition,AKA ,319 pages
English,A Theory of Justice,Paperback,129237,John Rawls,3.91,9162,Original Edition,"Rawls aims to express an essential part of the common core of the democratic tradition - justice as fairness - and to provide an alternative to utilitarianism, wh",824 pages
English,The Twelfth Card,Hardcover,106312,Jeffery Deaver,3.98,12261,Large print edition,"A high-school girl in Harlem, Geneva Settle, is the target of a ruthless professional killer—Thompson Boyd—who has been hired to murder her for reasons unknown. His first attempt, in a deserted museum early one morning, is a failure but it’s clear to Lincoln Rhyme that he’s going to strike again, from clues the killer leaves behind, one of which is the twelfth card in the tarot deck, The Hanged Man, whose meaning resonates eerily throughout the story.",816 pages
                                  ,B005LVV5LQ,Kindle Edition,12602078,Melody Anne,3.87,17736,second edition,Jasmine grew up wealthy and oblivious to the destruction her father caused all around him. Derek was from the wrong side of the track,217 pages
English,Mister B. Gone,Hardcover,1011632,Clive Barker,3.32,10600,First Edition,"The Mister B. of the title is Jakabob Botch, a demon whose ghastly past could make even the most merciless sociopath whimper in sympathy. Born in the deepest regions of hell, the spawn of an abusive drunkard and his whorish wife, Jakabob escapes to the world above after suffering fiendish torture. Once topside, he lands conveniently in 15th-century Mainz, the home of printing inventor Johannes Gutenberg. However, Mister B. isn't interested in merely observing history; like any other self-respecting diabolical being, he's just searching for a new demonic angle. A ghoulishly good fright fest.",248 pages
"
                  ",Wool 2: Proper Gauge,Kindle Edition,13178410,Hugh Howey,4.15,10328,1st Edition,"A cleaning has been performed, and now the silo is without a sheriff. With only one good candidate available, Mayor Jahns and Deputy Mames set off for the Down Deep to recruit her in person. Along the way, they discover much about each other, troubling news about this candidate, and stumble upon fractured alliances that could spell the doom of a silo they've worked long years to protect.",106 pages
Italian,Novecento,Paperback,61266,Alessandro Baricco,4.19,11920,Universale Economica #1302," era un piroscafo. Negli anni tra le due guerre faceva la spola tra Europa e America, con il suo carico di miliardari, di emigranti e di gente qualsiasi. Dicono che sul ",64 pages
English,Demon Thief,Paperback,53168,Darren Shan,4.14,11804,First U.S. Paperback Edition,Librarian's note: Also writes books for adults under the name ,241 pages
English,Thirteen Moons,Hardcover,33896,Charles Frazier,3.64,10178,First Trade,"At the age of twelve, an orphan named Will Cooper is given a horse, a key, and a map and is sent on a journey through the uncharted wilderness of the Cherokee Nation. Will is a bound boy, obliged to run a remote Indian trading post. As he fulfills his lonesome duty, Will finds a father in Bear, a Cherokee chief, and is adopted by him and his people, developing relationships that ultimately forge Will’s character. All the while, his love of Claire, the enigmatic and captivating charge of volatile and powerful Featherstone, will forever rule Will’s heart. In a voice filled with both humor and yearning, Will tells of a lifelong search for home, the hunger for fortune and adventure, the rebuilding of a trampled culture, and above all an enduring pursuit of passion.",422 pages
English,Austerlitz,Paperback,88442,W.G. Sebald,4.04,9978,UK,"In 1939, five-year-old Jacques Austerlitz is sent to England on a Kindertransport and placed with foster parents. This childless couple promptly erase from the boy all knowledge of his identity and he grows up ignorant of his past. Later in life, after a career as an architectural historian, Austerlitz - having avoided all clues that might point to his origin - finds the past returning to haunt him and he is forced to explore what happened fifty years before...",415 pages
English,Desolation Angels,Paperback,10461,Jack Kerouac,3.92,9216,First Riverhead trade paperback edition," in 1957, Jack Kerouac became at once the spokesman and hero of the Beat Generation. Along with such visionaries as William S. Burroughs, Neal Cassady, and Allen Ginsberg, Kerouac changed the face of American literature, igniting a counterculture revolution that even now, decades later, burns brighter than ever in ",432 pages
English,A Kiss for Little Bear,Paperback,201145,Else Holmelund Minarik,4.31,11648,I Can Read,"Else Holmelund Minarik was the author of the Little Bear series of children's books, which were successful as books, and were also made into a successful children's TV series. The Little Bear books sold more than 6 million copies worldwide.",32 pages
English,The Necronomicon,Hardcover,1335019,H.P. Lovecraft,4.29,9604,"Commemorative Edition, first printing","Howard Phillips Lovecraft, of Providence, Rhode Island, was an American author of horror, fantasy and science fiction.",878 pages
English,"Sweet Tooth, Volume 1: Out of the Deep Woods",Paperback,6954438,Jeff Lemire,3.9,11553,Trade,"Jeff Lemire's acclaimed new series introduce Gus, a rare new breed of human/animal hybrid who was raised in isolation following a pandemic that struck a decade earlier. Now, with the death of his father, he's left to fend for himself . . . until he meets a hulking drifter named Jepperd, who promises to help him. Jepperd and Gus set out on a post-apocalyptic journey into the devastated American landscape to find 'The Preserve,' a refuge for hybrids.",128 pages
English,The History of the Decline and Fall of the Roman Empire,Paperback,19400,Edward Gibbon,3.96,9819,abridged,Introduction by Daniel J. Boorstin,1312 pages
English,"Happier at Home: Kiss More, Jump More, Abandon a Project, Read Samuel Johnson, and My Other Experiments in the Practice of Everyday Life",Audiobook,13414599,Gretchen Rubin,3.48,12131,eAudiobook,"One Sunday afternoon, as she unloaded the dishwasher, Gretchen Rubin felt hit by a wave of homesickness. Homesick—why? She was standing right in her own kitchen. She felt homesick, she realized, with love for home itself",10 pages
English,The Demon Trapper's Daughter,Paperback,8534899,Jana Oliver,4.0,17003,UK Edition," Seventeen-year-old Riley, the only daughter of legendary demon trapper Paul Blackthorne, has always dreamed of following in her father's footsteps.  The good news is, with human society seriously disrupted by economic upheaval and Lucifer increasing the number of de",422 pages
English,Die fröhliche Wissenschaft,Mass Market Paperback,94578,Friedrich Nietzsche,4.26,9888,Vintage Books,"Walter Kaufmann's commentary, with its many quotations from previously untranslated letters, brings to life Nietzsche as a human being and illuminates his ph",398 pages
English,Truce,ebook,17352874,R.L. Mathewson,4.34,21512,Kobo,"Elizabeth knows what’s expected of her, perfection. She’s the daughter of an Earl and expected to marry well, say and do the right things with a smile on her face when inside she’s dying for a chance to escape. Thanks to an inheritance her godmother left her years ago, her chance will come with her next birthday. Her hopes of escape abruptly end when Robert, her childhood nemesis that she hasn't seen in over fourteen years, comes back into her life and does everything he can to drive her out of her mind even as he steals her heart. ",266 pages
English,The Girl in the Red Coat,Hardcover,23289469,Kate Hamer,3.53,11264,UK edition,"Carmel Wakeford becomes separated from her mother at a local children's festival, and is found by a man who claims to be her estranged grandfather. He tells her that her mother has had an accident and that she is to live with him for now. As days",384 pages
English,La increíble y triste historia de la cándida Eréndira y de su abuela desalmada,Paperback,31741,Gabriel García Márquez,3.89,10332,First Perennial Classics Edition,"""The stories are rich and startling in their matter and confident in their manner....They are--the word cannot be avoided--magical.""--John Updike, ",192 pages
English,The Seven Storey Mountain,Paperback,175078,Thomas Merton,4.16,10299,First Harvest edition,"Thomas Merton was one of the most influential Catholic authors of the 20th century. A Trappist monk of the Abbey of Our Lady of Gethsemani, in the American state of Kentucky, Merton was an acclaimed Catholic spiritual writer, poet, author and social activist. Merton wrote over 60 books, scores of essays and reviews, and is the ongoing subject of many biographies. Merton was also a proponent of inter-religious dialogue, engaging in spiritual dialogues with the Dalai Lama, Thich Nhat Hanh and D. T. Suzuki. His life and career were suddenly cut short at age 53, when he was electrocuted stepping out of his bath.",467 pages
English,Altered,Hardcover,10859509,Jennifer Rush,4.04,17069,First Edition,"Everything about Anna’s life is a secret. Her father works for the Branch at the helm of its latest project: monitoring and administering treatments to the four genetically altered boys in the lab below their farmhouse. There’s Nick, Cas, Trev . . . and Sam, who has stolen Anna’s heart. When the Branch decides it’s time to take the boys, Sam stages an escape, killing the agents sent to retrieve them. ",323 pages
English,Beautiful You,Hardcover,19523454,Chuck Palahniuk,2.98,10205,First Edition,", the classic portrait of the damaged contemporary male psyche, now comes this novel about the apocalyptic marketing possibilities of a new product that gives new meaning to the term ""self-help."" ",240 pages
English,Heaven,Hardcover,13056511,Alexandra Adornetto,3.91,15241,First Edition,"At a time when they believe nothing will come between them again, they are faced with their most daunting challenge ye",419 pages
English,See Jane Date,Paperback,835155,Melissa Senate,3.5,9494,1st Edition,"I'm the author of many novels, including my debut, SEE JANE DATE (also available in cute TV movie form on DVD) and THE LOVE GODDESS' COOKING SCHOOL. I've had two novels published under a secret pen name, but I will happily share if you message me to ask!",283 pages
"
                  ","Die Henkerstochter und der König der Bettler (Band 3 aus der Reihe ""Die Henkerstochter-Saga"")",Kindle Edition,15776904,Oliver Pötzsch,3.95,11412,US Edition,"1662: Jakob Kuisl, the hangman of a village in the Alps, receives a letter from his sister calling him to the imperial city of Regensburg, where a gruesome sight awaits him: her throat has been slit. When the city constable discovers Kuisl alongside the corpse she locks him in a dungeon, where Kuisl will experience first-hand the torture he’s administered himself for years. As nightmares assail him, Kuisl can only hope to prevail on the Regensburg executioner to show mercy to a fellow hangman. Kuisl’s steely daughter, Magdalena, and her young doctor paramour, Simon, rush to Regensburg and try to save Jakob, enlisting an underground network of beggars, a beer-brewing monk, and an Italian playboy for help. Navigating the labyrinthine city, they learn there is much more behind the false accusation than a personal vendetta: there is a plan that will endanger the entire German Empire.Chock-full of fascinating historical detail, The Beggar King brings to vibrant life another tremendous tale of an unlikely hangman and his tough-as-nails daughter, confirming Pötzsch’s mettle as a storyteller at the height of his powers.",514 pages
English,The Clocks,Audio Cassette,388018,Agatha Christie,3.71,15635,"Unabridged, Mystery Masters Series","The owner arrives home and denies that the clocks belong to her, the deceased's business card turns out to be a fraud, and a woman shows up claiming to be the dead man",381 pages
"
                ",بضع ساعات في يوم ما,Paperback,13151283,محمد صادق,3.14,7934,الثانية,ما الذي يمكن أن يحدث؟؟..,154 pages
English,The Redhead Revealed,Paperback,9399336,Alice Clayton,4.2,17425,1st Edition,"As their careers catch fire, Grace and Jack -- everyone’s favorite foul-mouthed, funny, and feisty couple -- find themselves on opposite coasts. Grace has landed in New York City, where she loves being onstage again, particularly because she’s playing a fabulous character in a musical written by her old college flame, Michael. Their rekindled friendship makes exploring the city that much more fun. ",228 pages
English,Amusing Ourselves to Death: Public Discourse in the Age of Show Business,Paperback,74034,Neil Postman,4.14,11305,20th Anniversary Edition,"Television has conditioned us to tolerate visually entertaining material measured out in spoonfuls of time, to the detriment of rational public discourse and reasoned public affairs. In this eloquent, persuasive book, Neil Postman alerts us to the real and present dangers of this state of affairs, and offers compelling suggestions as to how to withstand the media onslaught. Before we hand over politics, education, religion, and journalism to the show business demands of the television age, we must recognize the ways in which the media shape our lives and the ways we can, in turn, shape them to serve out highest goals.",184 pages
English,Johnny Mnemonic,Hardcover,313998,William Gibson,3.75,9820,Film Tie-in,Johnny is a courier. He carries other people's me,160 pages
English,Skippyjon Jones in Mummy Trouble (Skippyjon Jones),Hardcover,244115,Judy Schachner,4.25,11367,with Audio CD,—the underworld— where mummitos rest in peas. But they need El Skippito's brains and courage to answer the riddle of theFinx and enter the mummy's tomb. Our hero is up to the,32 pages
English,Avatar: Last Airbender v. 1 (Avatar (Graphic Novels)),Paperback,1070527,Michael Dante DiMartino,4.52,8457,Graphic Novels,"Michael Dante DiMartino is a graduate of the Rhode Island School of Design. His directing credits include the animated series King of the Hill, Family Guy, and Mission Hill. He is a co-creator of the award-winning animated Nickelodeon series Avatar: The Last Airbender and its sequel, The Legend of Korra. DiMartino lives in Los Angeles with his wife. The Rebel Geniuses series is his debut prose wor",96 pages
English,Batwoman: Elegy,Hardcover,6911529,Greg Rucka,4.16,11561,Deluxe Edition,"A new era begins as Batwoman is unleashed on Gotham City! Marked by the blood-red bat emblem, Kate Kane is a soldier fighting her own private war - one that began years ago and haunts her every waking moment. In this first tale, Batwoman battles a madwoman known only as Alice, inspired by Alice in Wonderland, who sees her life as a fairy tale and everyone around her as expendable extras! ",192 pages
English,"The Dragonslayer (Bone, #4)",Paperback,106124,Jeff Smith,4.33,11499,1st Scholastic Edition, ,168 pages
German,Gut gegen Nordwind,Hardcover,1820716,Daniel Glattauer,3.88,13902,First Edition,"Bei Leo Leike landen irrtümlich E-Mails einer ihm unbekannten Emmi Rothner. Aus Höflichkeit antwortet er ihr. Und weil sich Emmi von ihm angezogen fühlt, schreibt sie zurück.",223 pages
                                  ,9789710573653,Mass Market Paperback,17903381,HaveYouSeenThisGirL,4.4,7059,Gold,"Mahirap at panget si Girl tapos magnet siya ng mga poging mayayaman na boys? YES! Cliché? YES! So what makes this book special? This story has made a lot of people online laugh, as in hagalpak talaga with matching headbang pa! This is Eya's diary, a girl who believes she's ugly and will meet Cross Sandford, the most annoying nilalang ever. Samahan natin si Eya sa nakakaloka niyang adventure sa Willford Academy! A Cinderella story with a twist katatawanan! A story na pwedeng-pwede sa mga kabataan at pati na rin sa lagpas kabataan, para sa kababaihan, kalalakihan, binabae, o pusong lalaki. A very funny and kakilig story.",128 pages
English,Single White Vampire,Mass Market Paperback,263149,Lynsay Sands,4.17,18695,Love Spell," - ""Lucern."" Successful biographer of family, books recently categorized as ""paranormal romance."" Something of a recluse. Hates crowds, aggressive women. Doesn't like sunbathing, garlicky dinners or religious symbols. Likes old-fashioned values; spicy Mexican dishes; warm, nice-smelling neck; and plump red lips. Stronger than ten men and can vanish in the blink of an eye. Currently unaware he's seeking a woman to share eternity.",369 pages
English,More Than Human,Paperback,541024,Theodore Sturgeon,3.98,12138,First Vintage Books Edition,"There's Lone, the simpleton who can hear other people's thoughts and make a man blow his brains out just by looking at him. There's Janie, who moves things without touching them, and there are the teleporting twins, who can travel ten feet or ten miles. There's Baby, who invented an antigravity engine while still in the cradle, and Gerry, who has everything it takes to run the world except for a conscience. Separately, they are talented freaks. Together, they compose a single organism that may represent the next step in evolution, and the final chapter in the history of the human race.",186 pages
English,Das Drama des begabten Kindes und die Suche nach dem wahren Selbst: eine Um- und Fortschreibung,Paperback,4887,Alice  Miller,4.09,10926,3rd edition,"Never allowed to express their true feelings, and having lost touch with their true selves, they act out their repressed feelings with episodes of depression and compulsive behav",144 pages
"
                  ","
                  144240339X
                      ",Hardcover,8288246,Holly Black,3.98,17802,First Edition,"That was how Lila, the girl he love",327 pages
English,The Midwich Cuckoos,Mass Market Paperback,161846,John Wyndham,3.92,13055,#299K,"John Wyndham Parkes Lucas Beynon Harris was the son of a barrister. After trying a number of careers, including farming, law, commercial art and advertising, he started writing short stories in 1925. After serving in the civil Service and the Army during the war, he went back to writing. Adopting the name John Wyndham, he started writing a form of science fiction that he called 'logical fantasy'.",220 pages
Spanish,La vida del Lazarillo de Tormes y sus fortunas y adversidades ,Hardcover,61794,Anonymous,3.49,12589,Clásicos Universales,"Así, garrotazo a garrotazo, la simpleza y credulidad del Lázaro de las primeras páginas ceden paso a la sagacidad y a la astucia propias del más clásico y típic",96 pages
English,"Fables, Volume 7: Arabian Nights (and Days)",Paperback,21327,Bill Willingham,4.1,14163,Trade,"With the identity of the Adversary finally revealed to the citizens of Fabletown, it's time to begin making preparations in earnest for the defense of their stronghold in the mundane world - and that means forging new alliances with whoever remains unconquered by the Adversary's legions. But the arrival in Fabletown of a delegation from the Arabian Homelands shows just how tricky this kind of coalition-building can be - especially when one side is concealing Weapons of Magical Destruction!",144 pages
English,13 Hours: The Inside Account of What Really Happened In Benghazi,Hardcover,22608582,Mitchell Zuckoff,4.26,12605,Large Print,"13 HOURS presents, for the first time ever, the true account of the events of September 11, 2012, when terrorists attacked the US State Department Special Mission Compound and a nearby CIA station called the Annex in Benghazi, Libya. A team of six American security operators fought to repel the attackers and protect the Americans stationed there. Those men went beyond the call of duty, performing extraordinary acts of courage and heroism, to avert tragedy on a much larger scale. This is their personal account, never before told, of what happened during the thirteen hours of that now-infamous attack.",432 pages
                                  ,B0087G3U92,Kindle Edition,15059301,Erica Stevens,4.06,15774,1st edition,"Captured, taken from her beloved family and woods, Aria’s biggest fear is not the imminent death facing her, but that she will be chosen as a blood slave for a member of the ruling vampire race. No matter what becomes of her though, Aria knows that she must keep her identity hidden from the monsters imprisoning her. She has already been branded a member of the rebellion, but the vampires do not know the true depth of her involvement with it, and they must never know.",168 pages
English,Breathe,Hardcover,11544466,Sarah Crossan,3.69,14868,First Edition,"Ever since the Switch, when the oxygen levels plummeted and most of humanity di",373 pages
English,Slammerkin,Paperback,44543,Emma Donoghue,3.69,12553,First Edition,"Mary Saunders, a lower-class London schoolgirl, was born into rough cloth but hungered for lace and the trappings of a higher station than her family would ever know. In 18th-century England, Mary's shrewd instincts will get her only so far, and she despairs of the plans made for her to carve out a trade as a seamstress or a maid. Unwilling to bend to such a destiny, Mary strikes out on a painful, fateful journey all her own. Inspired by the obscure historical figure Mary Saunders, Slammerkin is a provocative, graphic tale and a rich feast of an historical novel. Author Emma Donoghue probes the gap between a young girl's quest for freedom and a better life and the shackles that society imposes on her. ""Never give up your liberty.""",410 pages
                                  ,Legion: Skin Deep,Leather Bound,20886354,Brandon Sanderson,4.11,11378,Signed Limited Edition,"Stephen Leeds, AKA “Legion,” is a man whose unique mental condition allows him to generate a multitude of personae: hallucinatory entities with a wide variety of personal characteristics and a vast array of highly specialized skills. As the new story begins, Leeds and his “aspects” are hired by I3 (Innovative Information Incorporated) to recover a corpse stolen from the local morgue. But there’s a catch. The corpse is that of a pioneer in the field of experimental biotechnology, a man whose work concerned the use of the human body as a massive storage device. He may have embedded something in the cells of his now dead body. And that something might be dangerous…",208 pages
English,Retribution,Hardcover,9065265,Sherrilyn Kenyon,4.12,18094,1st ,"A hired gunslinger, William Jessup Brady lived his life with one foot in the grave. He believed that every life had a price. Until the day when he finally found a reason to live. In one single act of brutal betrayal, he lost everything, including his life. Brought back by a Greek goddess to be one of her Dark-Hunters, he gave his immortal soul for vengeance",369 pages
                                  ,B008NYB63A,Kindle Edition,15768536,Christine Zolendz,4.03,20616,2nd Edition,"I'm finally home after struggling through my brother's illness and death. But, home is definitely a bit different. My best friend (the only person alive now that knows my secret) has a new boyfriend; and he has a friend. Shane Maxton: bad boy, tattooed rock god, eye candy extraordinaire. He is also New York City's most arrogant, self-serving, son of a, well, a definite one-night stand kind of a guy.",317 pages
English,Aloha from Hell,Hardcover,10439703,Richard Kadrey,4.01,12904,1st Edition,", the ruthless avenger, a.k.a. Stark, finds himself trapped in the middle of a war between Heaven and Hell. With God on vacation, the Devil nosing around in Paradise, and an insane serial killer doing ser",438 pages
English,The Lord of the Rings Sketchbook,Hardcover,25790,Alan Lee,4.26,9193,1st edition, Alan Lee reveals in pictures and in words how he created the beautiful watercolor paintings for the special centenary edition of ,192 pages
English,Y: The Last Man - The Deluxe Edition Book One,Hardcover,3710603,Brian K. Vaughan,4.36,11399,Deluxe Edition,"Written by Brian K. Vaughan (LOST, PRIDE OF BAGHDAD, EX MACHINA) and with ar",256 pages
English,The Vampire Chronicles,Audio Cassette,43780,Anne Rice,4.26,11286,Abridged,"Book 1, ",9 pages
English,Babylon's Ashes,Hardcover,25877663,James S.A. Corey,4.18,14236,UK,James Holden and his crew know the strengt,538 pages
English,Angels in America:  A Gay Fantasia on National Themes,Paperback,72003,Tony Kushner,4.29,11477,Complete Edition; Movie Tie-In Edition,"In two full-length plays--Millennium Approaches and Perestroika--Kushner tells the story of a handful of people trying to make sense of the world. Prior is a man living with AIDS whose lover Louis has left him and become involved with Joe, an ex-Mormon and political conservative whose wife, Harper, is slowly having a nervous breakdown. These stories are contrasted with that of Roy Cohn (a fictional re-creation of the infamous American conservative ideologue who died of AIDS in 1986) and his attempts to remain in the closet while trying to find some sort of personal salvation in his beliefs.",304 pages
English,Going Rogue: An American Life,Hardcover,6922622,Sarah Palin,3.28,10715,1st Edition,"bestselling memoir from Sarah Palin, one of America’s most beloved and controversial political figures. Now with new material, ",413 pages
