title,GoodReadAverageRating,description,bookformat,id,numberofpages,NumberofRatings,author,bookEdition,Language
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,3.97,"From 1999 to 2009, U.S. Navy SEAL Chris Kyle recorded the most career sniper kills in United States military history. The Pentagon has officially confirmed more than 150 of Kyle's kills (the previous American record was 109), but it has declined to verify the astonishing total number for this book. Iraqi insurgents feared Kyle so much they named him al-Shaitan (“the devil”) and placed a bounty on his head. Kyle earned legendary status among his fellow SEALs, Marines, and U.S. Army soldiers, whom he protected with deadly accuracy from rooftops and stealth positions. Gripping and unforgettable, Kyle’s masterful account of his extraordinary battlefield experiences ranks as one of the great war memoirs of all time.",Paperback,11887020,528 pages,82929,Chris Kyle,Large Print,English
"Forever Too Far (Too Far, #3)",4.24,"Torn between his love for his family and his love for Blaire, Rush has to find a way to save one without losing the other. In the end one has to be more important. Letting go isn’t easy.",Kindle Edition,17337562,292 pages,73204,Abbi Glines,US,"
                  "
The Interestings,3.54,"The summer that Nixon resigns, six teenagers at a summer camp for the arts become inseparable. Decades later the bond remains powerful, but so much else has changed. In",Hardcover,15815333,468 pages,85494,Meg Wolitzer,USA / Canada,English
Naked,4.02,"Brynne Bennett is living the good life. An American art student at the University of London and part-time photographic model, she’s putting her life back on track with school and lots of hard work. When ultra successful London businessman, Ethan Blackstone, buys her nude portrait, he isn’t taking ‘no’ for an answer. He wants Brynne in his bed and makes plans to keep her there no matter what. His dominant nature captivates and ensnares despite the demons she carries inside her. But there are secrets in this relationship. Huge ones. Can Ethan free Brynne from the past that has marked her? Will Brynne let him or will the specters tormenting her resurface to destroy them both…",Kindle Edition,15852756,208 pages,66880,Raine Miller,1st edition,"
                  "
The Illustrated Man,4.13, has remained in print since being published in 1951 is fair testimony to the universal appeal of Ray Bradbury's work. Only his second collection (the first was ,Paperback,24830,186 pages,58550,Ray Bradbury,Voyager Classics #33,English
The Liars' Club: A Memoir,3.92," took the world by storm and raised the art of the memoir to an entirely new level, as well as bringing about a dramatic revival of the form. Karr's comic childhood in an east Texas oil town brings us characters as darkly hilarious as any of J. D. Salinger's—a hard-drinking daddy, a sister who can talk down the sheri",Paperback,14241,320 pages,47922,Mary Karr,10th anniversary ed.,English
The Grand Design,4.0, ,Hardcover,8520362,199 pages,46760,Stephen Hawking,First Edition,English
Revelations,3.9,When an ancient place of p,Hardcover,2753843,264 pages,68843,Melissa de la Cruz,1st Edition,English
Dead Ever After,3.39,"Sookie Stackhouse finds it easy to turn down the request of former barmaid Arlene when she wants her job back at Merlotte’s. After all, Arlene tried to have Sookie killed. But her relationship with Eric Northman is not so clearcut. He and his vampires are keeping their distance…and a cold silence. And when Sookie learns the reason why, she is devastated.",Hardcover,15985348,338 pages,67321,Charlaine Harris,1st edition,English
Τὰ εἰς ἑαυτόν ,4.2, of Marcus Aurelius (AD 121-180) offer a remarkable series of challenging spiritual reflections and exercises developed as the emperor struggled to understand himself and make sense of the universe. ,Paperback,30659,304 pages,56572,Marcus Aurelius,Penguin Classics,English
Silver Borne,4.38,). But she is about to learn that while some secrets are dangerous whose who seek them are just plain deadly...,Hardcover,6587387,342 pages,78398,Patricia Briggs,First Edition,English
Destined,4.04,"In Destined, the forces of Light and Dark collide as their epic struggle focuses on Tulsa’s House of Night. Zoey is home where she belongs, safe with her Guardian Warrior, Stark, by her side – and preparing to face off against Neferet. Kalona has released his hold on Rephaim, and, through Nyx’s gift of a human form, he and Stevie Rae are finally able to be together – if Rephaim can truly walk the path of the Goddess and stay free of his father’s shadow.",Hardcover,7933617,325 pages,64327,P.C. Cast,UK Edition,English
"Le Vicomte de Bragelonne, ou Dix ans plus tard",3.97,"In the concluding installment of Alexandre Dumas's celebrated cycle of the Three Musketeers, D'Artagnan remains in the service of the corrupt King Louis XIV after the Three Musketeers have retired and gone their separate ways. Unbeknownst to D'Artagnan, Aramis and Porthos plot to remove the inept king and place the king's twin brother on the throne of France. Meanwhile, a twenty-three-year-old prisoner known only as ""Philippe"" wastes away deep inside the Bastille. Forced to wear an iron mask, Phillippe has been imprisoned for eight years, has no knowledge of his true identity, and has not been told what crime he's committed. When the destinies of the king and Phillippe converge, the Three Musketeers and D'Artagnan find themselves caught between conflicting loyalties.",Paperback,54499,470 pages,56592,Alexandre Dumas,Penguin Classics,English
Finger Lickin' Fifteen,3.99," Bail bonds office worker Lula is witness to the crime, and the only one she'll talk to is Trenton cop Joe Morelli.",Hardcover,6048530,308 pages,71224,Janet Evanovich,1st Edition,English
Night Film,3.78,"On a damp October night the body of young, beautiful Ashley Cordova is found in an abandoned warehouse in lower Manhattan. Her suicide appears to be the latest traged",Hardcover,10112885,602 pages,55764,Marisha Pessl,First Edition,English
"Lover Avenged, part two",4.28,"When she suffers a paralyzing injury, human surgeon Dr. Manuel Manello is called in to tre",Hardcover,8492319,512 pages,73944,J.R. Ward,First Edition,English
The Caves of Steel,4.14,"A millennium into the future two advancements have altered the course of human history: the colonization of the galaxy and the creation of the positronic brain. Isaac Asimov's Robot novels chronicle the unlikely partnership between a New York City detective and a humanoid robot who must learn to work together. Like most people left behind on an over-populated Earth, New York City police detective Elijah Baley had little love for either the arrogant Spacers or their robotic companions. But when a prominent Spacer is murdered under mysterious circumstances, Baley is ordered to the Outer Worlds to help track down the killer. The relationship between Life and his Spacer superiors, who distrusted all Earthmen, was strained from the start. Then he learned that they had assigned him a partner: R. Daneel Olivaw. Worst of all was that the ""R"" stood for robot--and his positronic partner was made in the image and likeness of the murder victim!",Mass Market Paperback,41811,206 pages,58698,Isaac Asimov,12th,English
The Sandman: Overture,3.95," first changed the landscape of modern comics, ",Hardcover,18310944,224 pages,53576,Neil Gaiman,Deluxe Edition,English
Less Than Zero,3.58,Clay comes home for Christmas vacation from his Eastern college and re-enters a lan,Paperback,9915,208 pages,51617,Bret Easton Ellis,Vintage Contemporaries,English
Nightmares & Dreamscapes ,3.9,"These fine stories, each written in what King calls ""a burst of faith, happiness & optimism,"" prove his point.",Paperback,10588,864 pages,59717,Stephen King,New English Library,English
Shadowfever,4.45,"“Evil is a completely different creature, Mac. Evil is bad that believes it’s good.” — MacKayla Lane was just a child when she and her sister, Alina, were given up for adoption and banished from Ireland forever. — Twenty years later, Alina is dead and Mac has returned to the country that expelled them to hunt her sister’s murderer. But after discovering that she descends from a bloodline both gifted and cursed, Mac is plunged into a secret history: an ancient conflict between humans and immortals who have lived concealed among us for thousands of years.",Hardcover,7304203,608 pages,80134,Karen Marie Moning,First Edition,English
The Indigo Spell,4.4,"In the aftermath of a forbidden moment that rocked Sydney to her core, she finds herself struggling to draw the line between her Alchemist teachings and what her heart is urging her to do. Then she m",Hardcover,8709526,401 pages,78310,Richelle Mead,1st Edition,English
The Turn of the Screw,3.45,"Half-seen figures who glare from dark towers and dusty windows- silent, foul phantoms who, day by day, night by night, come closer, ever closer. With growing horror, the helpless governes",Paperback,12948,121 pages,66644,Henry James,Penguin Popular Classics,English
The Yiddish Policemen's Union,3.69,"For sixty years, Jews have prospered in the Federal District of Sitka, a ""temporary"" safe haven created in the wake of revelations of the Holocaust and the shocking 1948 collapse of the fledgling state of Israel. Now the District is set to revert to Alaskan control, and their dream is coming to an end: once again the tides of history threaten to sweep them up and carry them off into the unknown.",Hardcover,16703,414 pages,52659,Michael Chabon,First Edition,English
I Am Legend ,4.07,"By day he is the hunter, stalking the undead through the ruins of civilisation. By night, he barricades himself in his home and prays for the dawn.",Paperback,14064,160 pages,60368,Richard Matheson,SF Masterworks #2,English
"Die Henkerstochter (Band 1 aus der Reihe ""Die Henkerstochter-Saga)",3.71,"Magdalena, the clever and headstrong daughter of Bavarian hangman Jakob Kuisl, lives with her father outside the village walls and is destined to be married off to another hangman’s son—except that the town physician’s son is hopelessly in love with her. And her father’s wisdom and empathy are as unusual as his despised profession. It is 1659, the Thirty Years’ War has finally ended, and there hasn’t been a witchcraft mania in decades. But now, a drowning and gruesomely injured boy, tattooed with the mark of a witch, is pulled from a river and the villagers suspect the local midwife, Martha Stechlin.",Kindle Edition,9496240,448 pages,55100,Oliver Pötzsch,US Edition,"
                  "
Rubinrot,4.12,"Gwyneth must now unearth the mystery of why her mother would lie about her birth date to ward off suspicion about her ability, brush up on her history, a",Hardcover,8835379,324 pages,83133,Kerstin Gier,US Edition,English
Captivated by You,4.06,"The vows we'd exchanged should have bound us tighter than blood and flesh. Instead they opened old wounds, exposed pain and insecurities, and lured bitter enemies out of the shadows. I felt him slipping from my grasp, my g",Paperback,17876893,356 pages,71985,Sylvia Day,First Edition,English
Memoria de mis putas tristes,3.6,Winner of the Nobel Prize for Literature,Mass Market Paperback,760,115 pages,48984,Gabriel García Márquez,First Vintage International Open-Market Edition,English
Fantasy Lover,4.17,New York Times and international bestselling author Sherrilyn Kenyon is a regular at the #1 spot. With legions of fans known as Menyons (thousands of whom proudly sport tattoos from her series and who travel from all over the world to attend her ap,Mass Market Paperback,84136,337 pages,75397,Sherrilyn Kenyon,First,English
Blue Moon,3.61,"Desperate to save him, Ever travels to",Paperback,6134826,284 pages,78724,Alyson Noel,1st Edition,English
Fearless Fourteen,4.02,"Dom Rizzi robbed a bank, stashed the money, and did the time. His family couldn't be more proud. He always was the smart one.",Hardcover,2292384,310 pages,75366,Janet Evanovich,1st Edition,English
Magician: Master,4.25,"Raymond E. Feist was born Raymond E. Gonzales III, but took his adoptive step-father's surname when his mother remarried Felix E. Feist. He graduated with a B.A. in Communication Arts with Honors in 1977 from the University of California at San Diego. During that year Feist had some ideas for a novel about a boy who would be a magician. He wrote the novel two years later, and it was published in 1",Mass Market Paperback,13810,499 pages,55551,Raymond E. Feist,Author's Preferred Edition,English
"Night World, No. 3",4.2,"The apocalypse is drawing near. But four Wild Powers can save the world from the impending doom. Circle Daybreak, an underground organization with both Night World and human members, is searching for the four who can stop the darkness.",Paperback,3575676,732 pages,59343,L.J. Smith,Omnibus,English
The Awakening and the Struggle,3.67,"Elena: the golden girl, the leader, the one who can have any boy she wants.",Paperback,395871,492 pages,72451,L.J. Smith,First Edition,English
Demonglass,4.13,"Turns out, Sophie's a",Hardcover,8428064,359 pages,78094,Rachel Hawkins,"Hyperion, First Edition",English
Ubik,4.1,Th,Paperback,22590,288 pages,58764,Philip K. Dick,Ventana Abierta,Spanish
Edge of Eternity,4.04,"Throughout these books, Follett has followed the fortunes of five intertwined families – American, German, Russian, English, and Welsh – as they make their way through the twentieth century. Now they come to one of the most tumultuous eras of all: the enormous social, political, and economic turmoil of the 1960s through the 1980s, from civil rights, assassinations, mass political movements and Vietnam to the Berlin Wall, the Cuban Missile Crisis, presidential impeachment, revolution – and rock and roll.East German teacher Rebecca Hoffman discovers she’s been spied on by the Stasi for years and commits an impulsive act that will affect her family for the rest of their lives.…George Jakes, the child of a mixed-race couple, bypasses a corporate law career to join Robert F. Kennedy’s Justice Department, and finds himself in the middle not only of the seminal events of the civil rights battle, but a much more personal battle of his own.…Cameron Dewar, the grandson of a senator, jumps at the chance to do some official and unofficial espionage for a cause he believes in, only to discover that the world is a much more dangerous place than he’d imagined.…Dimka Dvorkin, a young aide to Nikita Khrushchev, becomes a prime agent both for good and for ill as the United States and the Soviet Union race to the brink of nuclear war, while his twin sister, Tania, carves out a role that will take her from Moscow to Cuba to Prague to Warsaw – and into history.",Hardcover,11389875,1098 pages,53600,Ken Follett,First Edition,English
The Yellow Wallpaper,4.02,"Written from a feminist perspective, often focusing on the inferior status accorded to women by society, the tales include ""turned,"" an ironic story with a startl",Paperback,99300,70 pages,65399,Charlotte Perkins Gilman,Dover Thrift Editions,English
The Tenant of Wildfell Hall,3.91,"Gilbert Markham is deeply intrigued by Helen Graham, a beautiful and secretive young widow who has moved into nearby Wildfell Hall with her young son. He is quick to offer Helen his friendship, but when her reclusive behavior becomes the subject of local gossip and speculation, Gilbert begins to wonder whether his trust in her has been misplaced. It is only when she allows Gilbert to read her diary that the truth is revealed and the shocking details of her past.",Paperback,337113,542 pages,66209,Anne Brontë,Penguin Classics,English
The Time Paradox,4.07,"But when Artemis Fowl's mother contracts a life-threatening illness, his world is turned upside down. The o",Hardcover,2179276,391 pages,65963,Eoin Colfer,First American Edition,English
NOS4A2,4.06, bestselling author of ,Hardcover,15729539,704 pages,60365,Joe Hill,1st Edition,English
The Man in the Brown Suit,3.97,"Armed with a single clue, Anne finds herself struggling to unma",Paperback,209194,381 pages,59390,Agatha Christie,Agatha Christie Collection,English
Harriet the Spy,3.96,"Harriet M. Welsch is a spy. In her notebook, she writes down everything she knows about everyone, even her classmates and her best friends. Then Harriet loses track of her notebook, and it ends up in the wrong hands. Before she can stop them, her friends have read the always truthful, sometimes awful things she’s written about each of them. Will Harriet find a way to put her life and her friendships back together?",Mass Market Paperback,232576,300 pages,80851,Louise Fitzhugh,Classic Edition,English
Lean Mean Thirteen,4.08,MISTAKE #1,Hardcover,40317,310 pages,78177,Janet Evanovich,First Edition,English
He's Just Not That Into You: The No-Excuses Truth to Understanding Guys,3.65,"Now in bite-size mantras, the abridged empathetic wit and wisdom of the number one ",Hardcover,10412,208 pages,56107,Greg Behrendt,The Newly Expanded Edition,English
Lady Chatterley's Lover,3.49,"With her soft brown hair, lithe figure and big, wondering eyes,",Paperback,32067,364 pages,76439,D.H. Lawrence,Penguin Classics Deluxe Edition,English
Salem Falls,3.8,"When Jack St. Bride arrives by chance in the sleepy New England town of Salem Falls, he decides to reinve",Paperback,10915,434 pages,62692,Jodi Picoult,First Washington Square Press Trade Paperback Edition,English
Beneath This Man ,4.3,"Jesse Ward drowned her with his intensity and blindsided her with his passion, but he kept her away from his dark secrets and broken soul. Leaving him was the only way Ava O'Shea could survive. She should have known that Jesse Ward is impossible to escape--and now he's back in her life, determined to remind her of the sensual pleasures",Kindle Edition,18149927,452 pages,74805,Jodi Ellen Malpas,2nd Edition,"
                  "
13 Little Blue Envelopes,3.65,Maureen knew from an early age she wanted to be a writer. She went to high school at an all-girls' Catholic school and graduated from University of Delaware with a degree in writing. She now lives and writes in New York City.,Paperback,17020,322 pages,71104,Maureen Johnson,Extras Inside,English
Warbreaker,4.22," and following up with his blockbuster Mistborn trilogy, Brandon Sanderson proves again that he is today's leading master of what Tolkien called ""secondary creation,"" the invention of whole worlds, complete with magics and myths all their own.",ebook,1268479,688 pages,66459,Brandon Sanderson,Draft version,"
                "
Cold Days,4.51,"After being murdered by a mystery assailant, navigating his way through the realm between life and death, and being brought back to the mortal world, Harry realizes that maybe death wasn’t all that bad. Because he is no longer Harry Dresden, Chicago’s only professional wizard.",Hardcover,12216302,515 pages,66541,Jim Butcher,1st Edition,English
Cross My Heart and Hope to Spy,4.13,". At first, giddy anticipation is in the air. Gallagher Academy, Cammie's elite spy school, is hosting a visit from a covert training center for boys. Soon after the boys' arrival, though, everything goes dangerously awry when a s",Hardcover,568645,236 pages,73733,Ally Carter,First Edition,English
Anna Dressed in Blood,3.96,"So did his father before him, until he was gruesomely murdered by a ghost he sought to kill. Now, armed with his father's mysterious and deadly athame, Cas travels the country with his kitchen-witch mother and their spirit-sniffing cat. They follow legends and local lore, destroy the murderous dead, and keep p",Hardcover,9378297,320 pages,78772,Kendare Blake,First Edition,English
"Temple of the Winds (Sword of Truth, #4)",4.03,"The dangerous, fanatical Imperi",Audio CD,253058,822 pages,63124,Terry Goodkind,Unabridged,English
The Magician: The Secrets of The Immortal Nicholas Flamel,4.09,"After fleeing Ojai, Nicholas, Sophie, Josh, and Scatty emerge in Paris, the City of Lights. Home for Nicholas Flamel. Only this homecoming is anything but sweet. Perenelle is still locked up back in Alcatraz and Paris is teeming with enemies. Niccolo Machiavelli, immortal author and celebrated art collector, is working for Dee. He’s after them, and time is running out for Nicholas and Perenelle. For every day spent without the Book of Abraham the Mage, they age one year-their magic becoming weaker and their bodies more frail. For Flamel, the Prophecy is becoming more and more clear.",Hardcover,2402971,464 pages,72517,Michael Scott,First Edition,English
Memnoch The Devil,3.74,"In the fifth Vampire Chronicle, Lestat is searching for Dora, the beautiful and charismatic mortal daughter of a drug lord. Dora has moved Lestat like no other mortal ever has, and he cannot get her out of his visions. At the same time, he is increasingly aware that the Devil knows who he is and wants something from him. While torn betwen his vampire world and his passion for Dora, Lestat is sucked in by Memnoch, who claims to be the Devil himself. Memnoch presents Lestat with unimagined opportunities: to witness creation, to visit purgatory, to be treated like a prophet. Lestat faces a choice between the Devil or God. Whom does he believe in? Who does he serve? What are the element of religious belief? Lestat finds himself caught in a whirlpool of the ultimate choice",Hardcover,31338,354 pages,67717,Anne Rice,Limited Edition,English
Twelve Sharp,4.14, ,Hardcover,3507,310 pages,79746,Janet Evanovich,1st Edition,English
Wool,4.12,Or you'll get what you wish for.,Kindle Edition,12287209,58 pages,60460,Hugh Howey,1st Edition,"
                  "
Without Fail ,4.16,"Skilled, cautious, and anonymous, Jack Reacher is perfect for the job: to assassinate the vice president of the United States. Theoretically, of course. A female Secret Service agent wants Reacher to find the holes in her system, and fast - because a covert group already has the vice president in their sights. They've planned well. There's just one thing they didn't plan on: Reacher.",Audiobook,21745,374 pages,64052,Lee Child,Unabridged,English
The Next Always,4.11,"The historic hotel in Boonsboro has endured war and peace, changing hands, even rumored hauntings. Now it’s getting a major facelift from the Montgomery brothers and their eccentric mother. Beckett is the architect of the family, and his social life consists mostly of talking shop over pizza and beer. But there’s another project he’s got his eye on: the girl he’s been waiting to kiss since he was fifteen.",Audio CD,10305231,352 pages,63478,Nora Roberts,Unabridged - Library Ed,English
Ivanhoe,3.75," (1819) was the first of Scott's novels to adopt a purely English subject and was also his first attempt to combine history and romance, which later influenced Victorian medievalism. Set at the time of the Norman Conquest, Ivanhoe returns from the Crusades to claim his inheritance and the love of Rowena and becomes involved in the struggle between Richard Coeur de Lion and his Norman brother John. The gripping narrative is structured by a series of conflicts: Saxon versus Norman, Christian versus Jew, men versus women, played out against Scott's unflinching moral realism.",Paperback,6440,544 pages,71832,Walter Scott,Penguin Classics,English
Changes,4.54,"Now Arianna Ortega, Duchess of the Red Court, has discovered a secret Susan has",Hardcover,6585201,438 pages,73171,Jim Butcher,1st Edition,English
Emotional Intelligence,3.98,", we could only guess why. Daniel Goleman's brilliant report from the frontiers of psychology and neuroscience offers startling new insight into our ""two minds""—the rational and the emotional—and how they together shape our destiny.",Hardcover,26329,384 pages,53743,Daniel Goleman,10th Anniversary Edition,English
Magician,4.17,"Raymond E. Feist was born Raymond E. Gonzales III, but took his adoptive step-father's surname when his mother remarried Felix E. Feist. He graduated with a B.A. in Communication Arts with Honors in 1977 from the University of California at San Diego. During that year Feist had some ideas for a novel about a boy who would be a magician. He wrote the novel two years later, and it was published in 1",Mass Market Paperback,13812,485 pages,65429,Raymond E. Feist,Author's Preferred Edition,English
"Full Dark, No Stars",4.03,"The story opens with the confession of Wilfred James to the murder of his wife, Arlette, following their move to Hemingford, Nebraska onto land willed to Arlette by her father.",Hardcover,7912007,368 pages,70001,Stephen King,First Edition,English
Masquerade,3.91,"Schuyler Van Alen is starting to get more comfortable with her newfound vampire powers, but she still has many unanswered questions. A trip to Italy in search of her grandfather only serves to make things more confusing. What secrets are the leaders of The Committee hiding? Meanwhile, back in New York, preparations are feverishly underway for the famous Four Hundred Ball. In true Blue Blood fashion, the ball is totally fab, complete with masksâ€”and hidden behind this masquerade is a revelation that will change the course of a young vampireâ€™s destiny.",Hardcover,106085,307 pages,79919,Melissa de la Cruz,1st Edition,English
Crossroads of Twilight,3.82, from the ,Hardcover,113435,704 pages,69005,Robert Jordan,First Edition,English
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,4.17,"Randall Munroe left NASA in 2005 to start up his hugely popular site XKCD 'a web comic of romance, sarcasm, math and language' which offers a witty take on the world of science and geeks. It now has 600,000 to a million page hits daily. Every now and then, Munroe would get emails asking him to arbitrate a science debate. 'My friend and I were arguing about what would happen if a bullet got struck by lightning, and we agreed that you should resolve it . . . ' He liked these questions so much that he started up ",Hardcover,21413662,303 pages,73499,Randall Munroe,First Edition,English
The Diamond Age,4.19,"The Diamond Age: Or, A Young Lady's Illustrated Primer is a postcyberpunk novel by Neal Stephenson. It is to some extent a science fiction coming-of-age story, focused on a young girl named Nell, and set in a future world in which nanotechnology affects all aspects of life. The novel deals with themes of education, social class, ethnicity, and the nature of artificial intelligence.",Paperback,827,499 pages,67069,Neal Stephenson,Trade Reissue,English
The Slow Regard of Silent Things,3.92,"Her name is Auri, and she is full of mysteries.",Hardcover,21535271,159 pages,72024,Patrick Rothfuss,First Edition,English
Twelve Years a Slave,4.16,"Perhaps the best written of all the slave narratives, Twelve Years a Slave is a harrowing memoir about one of the darkest periods in American history. It recounts how Solomon Northup, born a free man in New York, was lured",ebook,18478222,363 pages,65665,Solomon Northup,Enhanced Edition,"
                  "
"Lover Avenged, part one",4.41,"John Matthew has come a long way since he was found living among humans, his vampire nature unknown to himself and to those around him. After he was taken in by the Brotherhood, no one could guess what his true history was- or his true identity. Indeed, the fallen Brother Darius has returned, but with a different face and a very different destiny. As a vicious personal vendetta takes John into the heart of the war, he will need to call up on both who he is now and who he once was in order to face off against evil incarnate.",Hardcover,7046495,528 pages,90531,J.R. Ward,First Edition,English
PostSecret: Extraordinary Confessions from Ordinary Lives,4.01,"You are invited to anonymously contribute a secret to a group art project. Your secret can be a regret, fear, betrayal, desire, confession, or childhood humiliation. Reveal ",Hardcover,87640,278 pages,59727,Frank Warren,First Edition,"
                  "
Hearts in Atlantis,3.8,"Stephen King, whose first novel, Carrie, was published in 1974, the year before the last U.S. troops withdrew from Vietnam, is the first hugely popular writer of the TV generation. Images from that war -- and the",Paperback,11602,640 pages,71353,Stephen King,Film tie-in,English
"Lover Enshrined, part two",4.38,"Rehvenge has always kept his distance from the Brotherhood—even though his sister is married to a member, for he harbors a deadly secret that could make him a huge liability in their war against the lessers. As plots within and outside of the Brotherhood threaten to reveal the truth about Rehvenge, he turns to the only source of light in his darkening world, Ehlena, a vampire untouched by the corruption that has its hold on him—and the only thing standing between him and eternal destruction.",Hardcover,5098079,527 pages,92917,J.R. Ward,First Edition,English
الأسود يليق بك,3.71,الموسيقى لا تمهلك، إنها تمضي بك سراعا كما الحياة، جدولا طربا، أو شلالا هادرا يلقي بك إلى المصب. تدور بك كفالس محموم، على إيقاعه تبدأقصص الحب ...و تنتهي.,Paperback,16081961,331 pages,52554,أحلام مستغانمي,الطبعة الأولى,"
                  "
