title,GoodReadAverageRating,description,bookformat,id,numberofpages,NumberofRatings,author,bookEdition,Language
This Man,4.13,"Young interior designer Ava O’Shea has an appointment for a first consultation at The Manor with the owner, Mr Jesse Ward. She is expecting nothing more than an overweight, cravat wearing, well-to-do countryman, and on arrival, nothing would suggest otherwise. How wrong could she be? This Man is devastatingly handsome, charming and confident. He is also a conceited, hedonistic playboy, who knows no boundaries. Ava desperately does not want to be attracted to him, but she can’t control the overwhelming effect he has on her. Every instinct is telling her to run, so she does, but Jesse Ward is not so willing to let her go. He wants her and is determined to have her. She knows she is heading for heartbreak, but how can she run when he won’t let her?",ebook,16140036,448 pages,85590,Jodi Ellen Malpas,1st edition,                                  
The Orphan Master's Son,4.06,"Pak Jun Do is the haunted son of a lost mother - a singer ""stolen"" to Pyongyang - and an influential father who runs Long Tomorrows, a work camp for orp",Hardcover,11529868,443 pages,64316,Adam Johnson,US / CAN,English
Pygmalion,3.9,"Shaw wrote the part of Eliza Doolittle - an east-end dona with an apron and three orange and red ostrich feathers - for Mrs Patrick Campbell, with whom he had a passionate but unconsummated affair. From the outset the play was a sensational success, although Shaw, irritated by its popularity at the expense of his artistic intentions, dismissed it as a potboiler. The Pygmalion of legend falls in love with his perfect female statue and persuades Venus to bring her to life so that he can marry her. But Shaw radically reworks Ovid's tale to give it a feminist slant: while Higgins teaches Eliza to speak and act like a duchess, she also asserts her independence, adamantly refusing to be his creation.",Paperback,7714,134 pages,75907,George Bernard Shaw,Dover Thrift Edition,English
Sophie's Choice,4.18,"William Styron (1925–2006), born in Newport News, Virginia, was one of the greatest American writers of his generation. Styron published his first book, ",Paperback,228560,562 pages,71446,William Styron,Vintage International Edition,English
Cabin Fever,4.21,"Greg Heffley is in big trouble. School property has been damaged, and Greg is the prime suspect. But the crazy thing is, he’s innocent. Or at least sort of. The authorities are closing in, but when a surprise blizzard hits, the Heffley family is trapped indoors. Greg knows that when the snow melts he’s going to have to face the music, but could any punishment be worse than being stuck inside with your family for the holidays?",Hardcover,11254250,224 pages,69234,Jeff Kinney,First Edition,English
Out from Boneville,4.16,"After being run out of Boneville, the three Bone cousins, Fone Bone, Phoney Bone, and Smiley Bone, are separated and lost in a vast uncharted desert.",Paperback,106134,138 pages,63489,Jeff Smith,1st Edition,English
Heart-Shaped Box,3.82,"Aging, self-absorbed rock star Judas Coyne has a thing for the macabre -- his collection includes sketches from infamous serial killer John Wayne Gacy, a trepanned skull from the 16th century, a used hangman's noose, Aleister Crowley's childhood chessboard, etc. -- so when his assistant tells him about a ghost for sale on an online auction site, he immediately puts in a bid and purchases it. ",Hardcover,153025,376 pages,75290,Joe Hill,First Edition,English
The Rise and Fall of the Third Reich: A History of Nazi Germany,4.15,Hitler boasted that The Third Reich would last a thousand years. It lasted only 12. But those 12 years contained some of the most catastrophic events Western civilization has ever known.,Mass Market Paperback,767171,1614 pages,68999,William L. Shirer,50th Anniversary Edition,English
"
                  0785136207
                      ",4.43," series of comics (#1-5) into one Hardcover volume. It all begins here: the epic apocalyptic battle between good and evil. On a secret army base in the Californian desert, something has gone horribly, terribly wrong. Something will send Charlie Campion, his wife and daughter fleeing in the middle of the night. U",Hardcover,6344097,160 pages,58079,Roberto Aguirre-Sacasa,1st,"
                  "
Under the Never Sky,4.0,Then Aria meets an outsider name,Paperback,11594257,374 pages,94915,Veronica Rossi,UK Edition,English
The Year of the Flood,4.05,"The times and species have been changing at a rapid rate, and the social compact is wearing as thin as environmental stability. Adam One, the kindly leader of the God's Gardeners--a religion devoted to the melding of science and religion, as well as the preservation of all plant and animal life--has long predicted a natural disaster that will alter Earth as we know it. Now it has occurred, obliterating most human life. Two women have survived: Ren, a young trapeze dancer locked inside the high-end sex club Scales and Tails, and Toby, a God's Gardener barricaded inside a luxurious spa where many of the treatments are edible. ",Hardcover,6080337,431 pages,77981,Margaret Atwood,First United States Edition,English
Catherine the Great: Portrait of a Woman,3.91,"Born into minor German nobility, she transformed herself into an empress by sheer determination. Possessing a brilliant, curious mind, she devoured the works of Enlightenment philosophers, and reaching the throne, tried using their princ",Hardcover,10414941,625 pages,70710,Robert K. Massie,First edition,English
"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",3.75,"Countless writers and artists have spoken for a generation, but no one has done it quite like Chuck Klosterman. With an exhaustive knowledge of popular culture and an almost effortless ability to spin brilliant prose out of unlikely subject matter, Klosterman attacks the entire spectrum of postmodern America: reality TV, Internet porn, Pamela Anderson, literary Jesus freaks, and the real difference between apples and oranges (of which there is none). And don't even get him started on his love life and the whole Harry-Met-Sally situation. ",Paperback,599,253 pages,58067,Chuck Klosterman,1st Scribner trade paperback edition,English
Tintenblut,3.91,"Although a year has passed, not a day goes by without Meggie thinking of INKHEART, the book whose characters became real. But for Dustfinger, the fire-eater brought into being from words, the need",Hardcover,28195,635 pages,90832,Cornelia Funke,1st US Edition,English
Black and Blue,3.86,"Now she is starting over in a city far from home, far fr",Paperback,5157,288 pages,69965,Anna Quindlen,Delta Fiction,English
The Ugly Truth,4.16,"Greg suddenly finds himself dealing with the pressures of boy-girl parties, increased responsibilities, and even the awkward changes that come with getting older—all without his best friend, Rowley, at his side. Can Greg make it through on his own? Or will he have to f",Hardcover,7823678,217 pages,73806,Jeff Kinney,First Edition,English
الفيل الأزرق,3.8,"في ""8 غرب""، القسم الذي يقرّر مَصير مُرتكبي الجرائم، يُقابل صديقاً قديماً يحمل إليه ماضياً جاهد طويلاً لينساه، ويصبح مَصيره فجأة بين يدي يحيى..",Paperback,16031620,385 pages,54574,أحمد مراد,الطبعة الاولى,"
                  "
A Memory of Light,4.5,"In the Field of Merrilor the rulers of the nations gather to join behind Rand al’Thor, or to stop him from his plan to br",Hardcover,7743175,909 pages,76738,Robert Jordan,First,English
"
                  081257558X
                      ",3.92,"Mazrim Taim, leader of the Black Tower, is revealed to be a liar. But what is he up to?",Mass Market Paperback,13891,780 pages,78148,Robert Jordan,First Mass Market Edition,"
                  "
"
                  0545457823
                      ",4.4,"Here is the ultimate guide to the twenty-fourth annual Hunger Games. Follow the tributes' journey from the reaping to the Games, with an exclusive look at all the highlights along the way—the trip to the Capitol, t",Paperback,13027304,128 pages,68745,Emily Seife,First Edition,"
                  "
The Painted Man,4.27,"As darkness falls after sunset, the corelings rise—demons who possess supernatural powers and burn with a consuming hatred of humanity. For hundreds of years the demons have terrorized the night, slowly culling the human herd that shelters behind magical wards—symbols of power whose origins are lost in myth and whose protection is terrifyingly fragile. It was not always this way. Once, men and women battled the corelings on equal terms, but those days are gone. Night by night the demons grow stronger, while human numbers dwindle under their relentless assault. Now, with hope for the future fading, three young survivors of vicious demon attacks will dare the impossible, stepping beyond the crumbling safety of the wards to risk everything in a desperate quest to regain the secrets of the past. Together, they will stand against the night.",Hardcover,3428935,416 pages,78696,Peter V. Brett,First Edition,English
Winter,4.49,"Winter despises her stepmother, and knows Levana won't approve of her feelings for her childhood friend--the handsome palace guard, Jacin. But Winter isn't as weak as L",Hardcover,13206900,827 pages,113185,Marissa Meyer,1st,English
Last Argument of Kings,4.26,"With too many masters and too little time, Superior Glokta i",Trade Paperback,944076,536 pages,74060,Joe Abercrombie,First Edition,English
The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror ,3.94,"Published as a 'shilling shocker', Robert Louis Stevenson's dark psychological fantasy gave birth to the idea of the split personality. The story of respectable Dr Jekyll's strange association with 'damnable young man' Edward Hyde; the hunt through fog-bound London for a killer; and the final revelation of Hyde's true identity is a chilling exploration of humanity's basest capacity for evil. The other stories in this volume also testify to Stevenson's inventiveness within the Gothic tradition: ""Olalla', a tale of vampirism and tainted family blood, and 'The Body Snatcher', a gruesome fictionalisation of the exploits of the notorious Burke and Hare.",Paperback,51497,178 pages,81734,Robert Louis Stevenson,Penguin Classics,English
What the Dog Saw and Other Adventures,3.82,"In the past decade, Malcolm Gladwell has written three books that have radically changed how we understand our world",Hardcover,6516450,444 pages,71108,Malcolm Gladwell,Large Print,English
Pretty Girls,3.95,Sisters. Strangers. Survivors.,Paperback,25574782,688 pages,89377,Karin Slaughter,Large print,English
The Book of Mormon,4.37,"The book was written by many ancient prophets by the spirit of prophecy and revelation. Their words, written on gold plates, were quoted and abridged by a p",Paperback,323355,531 pages,66359,Anonymous,2013 Edition,English
Dead Wake: The Last Crossing of the Lusitania,4.07,"On May 1, 1915, with WWI entering its tenth month, a luxury ocean liner as richly appointed as an English country house sailed out of New York, bound for Liverpool, carrying a record number of children and infants. The passengers were surprisingly at ease, even though Germany had declared the seas around Britain to be a war zone. For months, German U-boats had brought terror to the North Atlantic. But the ",Hardcover,22551730,430 pages,74063,Erik Larson,First Edition,English
The Last Unicorn,4.18,"The unicorn had lived since before memory in a forest where death could touch nothing. Maidens who caught a glimpse of her glory were blessed by enchantment they would never forget. But outside her wondrous realm, dark whispers and rumours carried a message she could not ignore: ""Unicorns are gone from the",Paperback,29127,294 pages,80991,Peter S. Beagle,Revised 2007,English
All the Pretty Horses,3.97,"Cormac McCarthy is an American novelist and playwright. He has written ten novels in the Southern Gothic, western, and post-apocalyptic genres and has also written plays and screenplays. He received the Pulitzer Prize in 2007 for ",Paperback,469571,302 pages,73644,Cormac McCarthy,First Vintage Edition,English
"One Piece, Volume 01",4.42,"As a child, Monkey D. Luffy was inspired to become a pirate by listening to the tales of the buccaneer ""Red-Haired"" Shanks. But his life changed when he accidentally ate the fruit of the Gum-Gum Tree and gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, still vowing to become the king of the pirates, Luffy sets out on his adventure...one guy alone in a rowboat, in search of the legendary ""One Piece,"" said to be the greatest treasure in the world...",Paperback,1237398,210 pages,68505,Eiichirō Oda,SHONEN JUMP Manga Edition,English
Life,3.84,"Keith Richards is an English guitarist, songwriter, singer, producer and founding member of The Rolling Stones. As a guitarist Richards is mostly known for his innovative rhythm playing. In 2003 Richards was ranked 10th on Rolling Stone magazine's ""100 Greatest Guitarists of All Time"".",Hardcover,9439303,564 pages,66472,Keith Richards,First Edition,English
White Noise,3.86," tells the story of Jack Gladney, a teacher of Hitler studies at a liberal arts college in Middle America. Jack and his fourth wife, Babette, bound by their love, fear of death, and four ultramodern offspring, navigate the rocky passages of family life to the background babble of brand-nam",Paperback,11762,320 pages,70770,Don DeLillo,Penguin Great Books of the 20th Century,English
Unaccustomed Earth,4.11,"From the internationally best-selling, Pulitzer Prize–winning author, a superbly crafted new work of fiction: eight storie",Hardcover,85301,352 pages,67934,Jhumpa Lahiri,1st,English
'Salem's Lot The Illustrated Edition,4.25,With the addition of fifty pages of material deleted from the 1975 manuscript as wel,Hardcover,5413,594 pages,75371,Stephen King,Illustrated Edition,English
The Ersatz Elevator,4.01,For A Series of Unfortunate Events:,Hardcover,172327,259 pages,97558,Lemony Snicket,First Edition,English
An Echo in the Bone,4.42,"Jamie Fraser, erstwhile Jacobite and reluctant rebel, knows three things about the American rebellion: the Americans will win, unlikely as that seems in 1778; being on the winning side is no guarantee of survival; and he’d rather die than face his illegitimate son — a young lieutenant in the British Army — across the barrel of a gun. Fraser’s time-travelling wife, Claire, also knows a couple of things: that the Americans will win, but that the ultimate price of victory is a mystery. What she does believe is that the price won’t include Jamie’s life or happiness — not if she has anything to say.",Hardcover,2832909,1149 pages,86324,Diana Gabaldon,UK,English
Where We Belong,3.87,"Marian Caldwell is a thirty-six year old television producer, living her dream in New York City. With a fulfilling career and satisfying relationship, she has convinced everyon",Hardcover,12987977,372 pages,74064,Emily Giffin,1st Edition,English
Dead Witch Walking,4.04,Vampires rule the darkness in a predator-eat-predator world rife with dangers beyond imagining - and it's Rachel Morgan's job to keep that world civilized.,Mass Market Paperback,30264,416 pages,97559,Kim Harrison,1st Edition,English
The House on Mango Street,3.57, is the remarkable story of Esperanza Cordero. ,Paperback,139253,110 pages,87723,Sandra Cisneros,25th Anniversary Edition,English
The Path of Daggers,3.9,"In Illian, Rand vows to throw the Seanchan back as he did once before. But signs of madness are appearing among the Asha'man.",Mass Market Paperback,140974,685 pages,82735,Robert Jordan,First Mass Market Edition,English
The Lowland,3.82,"From Subhash's earliest memories, at every point, his brother was there. In the suburban streets of Calcutta where they wandered before dusk an",Hardcover,17262100,340 pages,69719,Jhumpa Lahiri,1st,English
Killing Lincoln: The Shocking Assassination that Changed America Forever,4.02,Bill O'Reilly's success in broadcasting and publishing is unmatched. The iconic anchor of The O'Reilly Factor led the program to the status of the highest rated cable news broadcast in the nation for sixteen consecutive years. His website BillOReilly.com is followed by millions all over the world.,Hardcover,10587120,324 pages,77113,Bill O'Reilly,First Edition,English
Crónica de una muerte anunciada,3.95,"A man returns to the town where a baffling murder took place 27 years earlier, determined to get to the bottom of the story. Just hours after marrying the beautiful Angela Vicario, everyone agrees, Bayardo San Roman returned his bride in disgrace to her parents. Her distraught family forced her to name her first lover; and her twin brothers announced their intention to murder Santiago Nasar for dishonoring their sister.",Paperback,23878,120 pages,82650,Gabriel García Márquez,First Vintage International Edition,English
Haunted: A Novel of Stories,3.59,The stories are told by people who have all answered an ad headlined ',Paperback,22288,419 pages,72929,Chuck Palahniuk,First Anchor Books edition (w/new Afterword),English
The Awakening,4.16,"If you had met me a few weeks ago, you probably would have described me as an average teenage girl - someone normal. Now my life has changed forever and I’m as far away from normal as it gets. A living science experiment - not only can I see ghosts, but I was genetically altered by a sinister organization called Edison Group. What does that mean? For starters. I'm a teenage necromancer whose powers are out of control: I raise the dead without even trying. Trust me, that is not a power you want to have. Ever.",Hardcover,5391115,360 pages,98579,Kelley Armstrong,First Edition,English
Before They Are Hanged,4.27,Northmen have spilled over the border of Angland and are spreading fire and death across the fr,Trade Paperback,902715,441 pages,78804,Joe Abercrombie,First Edition,English
The Austere Academy,3.97,"Dear Reader, ",Hardcover,131123,221 pages,104296,Lemony Snicket,First Edition,English
The Little Engine That Could,4.15,Pseudonym for the Platt & Munk publishing house.,Hardcover,824204,48 pages,83790,Watty Piper,Original Classic Edition,English
Ulysses,3.74," as corrected and reset in 1961. Like the first American edition of 1934, it also contains the original foreword by the author and the historic court ruling by Judge John M. Woolsey to remove the federal ban on ",Paperback,338798,810 pages,87148,James Joyce,Unabridged,English
Anne of Avonlea,4.21," a reputation for getting into scrapes. But when Anne begins her job as the new schoolteacher, the real test of her ch",Mass Market Paperback,77390,276 pages,108903,L.M. Montgomery,Special Collector's Edition,English
A Little Life,4.27,"When four classmates from a small Massachusetts college move to New York to make their way, they're broke, adrift, and buoyed only by their friendship and ambition. There is kind, handsome Willem, an aspiring actor; JB, a quick-witted, sometimes cruel Brooklyn-born painter seeking entry to the art world; Malcolm, a frustrated architect at a prominent firm; and withdrawn, brilliant, enigmatic Jude, who serves as their center of gravity. ",Hardcover,22822858,720 pages,88692,Hanya Yanagihara,First Edition,English
The Round House,3.91,"One of the most revered novelists of our time - a brilliant chronicler of Native-American life - Louise Erdrich returns to the territory of her bestselling, Pulitzer Prize finalist The Plague of Doves wi",Hardcover,13602426,323 pages,76716,Louise Erdrich,First Edition,English
Rules of Civility,3.99,"On the last night of 1937, twenty-five-year-old Katey Kontent is in a second-rate Greenwich Village jazz bar with her boardinghouse roommate stretching three dollars as far as it will go when Tinker Grey, a handsome banker with royal blue eyes and a tempered smile, happens to sit at the neighboring table. This chance encounter and its startling consequences propel Katey on a yearlong journey from a Wall Street secretarial pool toward the upper echelons of New York society and the executive suites of Condé Nast--rarefied environs where she will have little to rely upon other than a bracing wit and her own brand of cool nerve. ",Hardcover,10054335,335 pages,86903,Amor Towles,First Edition,English
Cold Sassy Tree,3.99,"On July 5, 1906, scandal breaks in the small town of Cold Sassy, Georgia, when the proprietor of the general store, E. Rucker Blakeslee, elopes with Miss Love Simpson. He is barely three weeks a widower, and she is only half his age and a Yankee to boot. As their marriage inspires a whir",Paperback,306654,391 pages,85215,Olive Ann Burns,Dial Press Trade Paperback edition,English
Warm Bodies,3.93,"Amongst the ruins of an abandoned city, R meets a girl. Her name is Julie and she is the opposite of everything he knows - warm and bright and very much alive, she is a blast of colour in a dreary grey landscape. For reasons he can't understand, R cho",Paperback,7619057,240 pages,91776,Isaac Marion,UK Edition,English
The Prince and the Pauper,3.84,"This treasured historical satire, played out in two very different socioeconomic worlds of 16th-century England, centers around the lives of two boys born in London on the same day: Edward, Prince of Wales and Tom Canty, a street beggar. During a chance encounter, the two realize they are identical and, as a lark, decide to exchange clothes and roles--a situation that briefly, but drastically, alters the lives of both youngsters. The Prince, dressed in rags, wanders about the city's boisterous neighborhoods among the lower classes and endures a series of hardships; meanwhile, poor Tom, now living with the royals, is constantly filled with the dread of being discovered for who and what he really is.",Paperback,62446,240 pages,91219,Mark Twain,100th anniversary edition,English
We Were the Mulvaneys,3.7,"The Mulvaneys of High Point Farm in Mt. Ephraim, New York, are a large and fortunate clan, blessed with good looks, abundant charisma, and boundless promise. But over the twenty-five year span of this ambitious novel, the Mulvaneys will slide, almost imperceptibly at first, from the pinnacle of happiness, transformed by the vagaries of fate into a scattered collection of lost and lonely souls.It is the youngest son, Judd, now an adult, who attempts to piece together the fragments of the Mulvaneys' former glory, seeking to uncover and understand the secret violation that occasioned the family's tragic downfall. Each of the Mulvaneys endures some form of exile- physical or spiritual - but in the end they find a way to bridge the chasms that have opened up among them, reuniting in the spirit of love and healing.",Paperback,5204,454 pages,81319,Joyce Carol Oates,Oprah's Book Club edition,English
Dubliners,3.85,"James Joyce, Irish novelist, noted for his experimental use of language in such works as ",Paperback,11012,207 pages,92125,James Joyce,Oxford World's Classics,English
North and South,4.13,"When her father leaves the Church in a crisis of conscience, Margaret Hale is uprooted from her comfortable home in Hampshire to move with her family to the north of England. Initially repulsed by the ugliness of her new surroundings in the industrial town of Milton, Margaret becomes aware of the poverty and suffering of the local",Paperback,156538,521 pages,107452,Elizabeth Gaskell,Penguin Popular Classics,English
Anne of the Island,4.21,"New adventures lie ahead as Anne Shirley packs her bags, waves good-bye to childhood, and heads for Redmond College. With old friend Prissy Grant waiting in the bustling city of Kingsport and frivolous new pal Philippa Gordon at her side, Anne tucks her memories of rural Avonlea away and discovers life on her own terms, filled with surprises...including a marriage proposal from the worst fellow imaginable, the sale of her very first story, and a tragedy that teaches her a painful lesson. But tears turn to laughter when Anne and her friends move  into an old cottage and an ornery black cat steals her heart. Little does Anne know that handsome Gilbert Blythe wants to win her heart, too. Suddenly Anne must decide if she's ready for love...",Paperback,77392,272 pages,102784,L.M. Montgomery,Special Collector's Edition,English
道德經 [dào dé jīng],4.32,", the esoteric but infinitely practical book written most probably in the sixth century B.C. by Lao Tsu, has been translated more frequently than any work except the Bible. This translation of the Chinese classic, which was first published twenty-five years ago, has sold more copies than any of the others. It offers the essence of each word and makes Lao Ts",Paperback,57854,184 pages,81544,Lao Tzu,25th Anniversary Edition,English
Awakened,4.02,"Exonerated by the Vampyre High Council and returned to her position of High Priestess at Tulsa’s House of Night, Neferet has sworn vengeance on Zoey. Dominion over her immortal consort Kalona is only one of the weapons she plans to use against Z. But Zoey has found sanctuary on the Isle of Skye and is being groomed by Queen Sgiach to take over for her there. Being Queen would be cool, wouldn’t it? Why should she return to Tulsa? After losing her human consort, Heath, she will never be the same – and her relationship with her super-hot-warrior, Stark, may never be the same either… And what about Stevie Rae and Rephaim? The Raven Mocker refuses to be used against Stevie Rae, but what choice does he have when no one in the entire world, including Zoey, would be okay with their relationship? Does he betray his father or his heart?",Hardcover,8652190,290 pages,108158,P.C. Cast,First Edition,English
Far from the Madding Crowd,3.92,"Independent and spirited Bathsheba Everdene has come to Weatherbury to take up her position as a farmer on the largest estate in the area. Her bold presence draws three very different suitors: the gentleman-farmer Boldwood, soldier-seducer Sergeant Troy and the devoted shepherd Gabriel Oak. Each, in contrasting ways, unsettles her decisions and complicates her life, and tragedy ensues, threatening the stability of the whole community. The first of his works set in Wessex, Hardy's novel of swift passion and slow courtship is imbued with his evocative descriptions of rural life and landscapes, and with unflinching honesty about sexual relationships.",Paperback,31463,433 pages,98291,Thomas Hardy,Penguin Classics,English
"色彩を持たない多崎つくると、彼の巡礼の年 [Shikisai o motanai Tazaki Tsukuru to, kare no junrei no toshi]",3.82,"Here he gives us the remarkable story of Tsukuru Tazaki, a young man haunted by a great loss; of dreams and nightmares that have",Hardcover,19288239,386 pages,87534,Haruki Murakami,First American Edition,English
The Sirens of Titan,4.16,"The Sirens of Titan is an outrageous romp through space, time, and morality. The richest, most depraved man on Earth, Malachi Constant, is offered a chance to take a space journey to distant worlds with a beautiful woman at his side. Of course there's a catch to the invitation—and a prophetic vision about the purpose of human life that only Vonnegut has the courage to tell.",Paperback,4982,224 pages,84759,Kurt Vonnegut Jr.,SF Masterworks #18,English
"Fables, Volume 1: Legends in Exile",3.99,"When a savage creature known only as the Adversary conquered the fabled lands of legends and fairy tales, all of the infamous inhabitants of folklore were forced into exile. Disguised among the normal citizens of modern-day New York, these magical characters have created their own peaceful and secret society within an exclusive luxury apartment building called Fabletown. But when Snow White's party-girl sister, Rose Red, is apparently murdered, it is up to Fabletown's sheriff, a reformed and pardoned Big Bad Wolf (Bigby Wolf), to determine if the killer is Bluebeard, Rose's ex-lover and notorious wife killer, or Jack, her current live-in boyfriend and former beanstalk-climber.",Paperback,21326,128 pages,105475,Bill Willingham,Trade,English
Vanity Fair: A Novel Without a Hero,3.76,"Vanity Fair: A Novel without a Hero is a novel by William Makepeace Thackeray, first published in 1847–48, satirizing society in early 19th-century Britain. The book's title comes from John Bunyan's allegorical story The Pilgrim's Progress, first published in 1678 and still widely read at the time of Thackeray's novel. Vanity fair refers to a stop alon",Paperback,5797,867 pages,98689,William Makepeace Thackeray,Penguin Classics,English
The Zombie Survival Guide: Complete Protection from the Living Dead,3.86," is your key to survival against the hordes of undead who may be stalking you right now. Fully illustrated and exhaustively comprehensive, this book covers everything you need to know, including how to understand zombie physiology and behavior, the most effective defense tactics and weaponry, ways to outfit your home for a long siege, and how to su",Paperback,535441,270 pages,87212,Max Brooks,First Broadway Paperback Edition,English
Dolores Claiborne,3.81,"Aujourd'hui, la vieille dame indigne est à nouveau soupçonnée : la riche et sénile Vera Donovan, dont elle est la gouvernante depuis des décennies, vient d'être découvert",Mass Market Paperback,10625,324 pages,99813,Stephen King,Terreur,French
Midnight's Children,3.99,But there has been a terrible mix up at b,Paperback,14836,647 pages,85070,Salman Rushdie,New Edition,English
A Moveable Feast,4.04, captures what it meant to be young and poor and writing in Paris during the 1920s. A correspondent for the ,Paperback,4631,182 pages,91419,Ernest Hemingway,Vintage Classics,English
Reached,3.56,"Ally Condie is a former high school English teacher who lives with her husband, three sons and one daughter outside of Salt Lake City, Utah. She loves reading, running, eating, and listening to her husband play guitar.",Hardcover,13125947,512 pages,118575,Ally Condie,Dutton,"
                  "
