author,bookformat,Language,numberofpages,GoodReadAverageRating,bookEdition,id,NumberofRatings,title,description
Jeff Grubb,Hardcover,English,210 pages,3.81,2nd Edition,285261,606,Forgotten Realms: Adventures (Advanced Dungeons & Dragons),The coming of the Avatars and the Time of Troubles caused tremendous changes in the Forgotten Realms. Areas of dead magic and wild magic have appeared; char
Jean Plaidy,Hardcover,English,600 pages,3.79,Large Print,817175,648,Gay Lord Robert ,"There was only one thing which Robert Dudley could not do, and that was to make any woman cease to love him. Now that Elizabeth was Queen of England, the romance which began with their shared captivity in the grim Tower of London blossomed into a mutual longing.. With the crown so nearly in his grasp, how could Robert let Amy Robsart, his sweet young wife, stand between him and the sons the Queen must bear?"
Dorothea Benton Frank,Audio CD,English,0 pages,4.04,Abridged,2471173,7197,Shem Creek,"Meet Linda Breland, single parent of two teenage daughters. The oldest, Lindsey, who always held her younger sister in check, is leaving for college. And Gracie, her Tasmanian devil, is giving her nightmares. Linda's personal life? Well, between the married men, the cold New Jersey winters, her pinched wallet and her ex-husband who marries a beautiful, successful woman ten years younger than she is—let's just say, Linda has seen enough to fill a thousand pages."
Fannie Flagg,Hardcover,English,402 pages,3.89,Large print edition,836462,14282,Can't Wait to Get to Heaven,"Life is the strangest thing. One minute, Mrs. Elner Shimfissle is up in her tree, picking"
J.R.R. Tolkien,Paperback,Spanish,310 pages,4.25,Primera edición,1425869,2210768,The Hobbit : or There and Back Again,"Smaug parecía profundamente dormido cuando Bilbo espió una vez más desde la entrada. ¡Pero fingía estar dormido! ¡Estaba vigilando la entrada del túnel!... Sacado de su cómodo agujero-hobbit por Gandalf y una banda de enanos, Bilbo se encuentra de pronto en medio de una conspiración que pretende apoderarse del tesoro de Smaug el Magnífico, un enorme y muy peligroso dragón..."
Betty Schrampfer Azar,Paperback,English,437 pages,4.1,Third Edition,1203845,809,Understanding and Using English Grammar,"A classic developmental skills text for intermediate to advanced students of English, Understanding and Using English Grammar is a comprehensive reference grammar as well as a stimulating and teachable classroom text. While keeping the same basic approach and material as in earlier editions, the Third Edition more fully develops communicative and interactive language-learning activities. Some of the new features are: *Numerous ""real communication"" opportunities *More options for interactive work in pairs and groups *Additional open-ended communicative tasks for both speaking and writing *Expanded error analysis exercises *Interesting and lively new exercise material *Shorter units for easy class use The program components include the Student Book, Workbook, Chartbook, Teacher's Guide, and Companion Website. Also available: Understanding and Using English Grammar Interactive (a multimedia CD-ROM)."
Bill Bryson,Audio Cassette ,English,0 pages,3.89,Abridged,955995,49666,Notes from a Big Country," began writing a weekly newspaper column about life in America for a British publication, "
Bryce Courtenay,Audiobook,English,8 pages,4.34,Young Reader's Edition,151480,61136,The Power of One,I was born illegitimately in 1933 in South Africa and spent my early childhood years in a small town deep in the heart of the Lebombo mountains.
Maer Wilson,Paperback,"
                  ",316 pages,4.65,1,19151084,65,"
                  1494209039
                      ","But when their friend Reo is shot, and a group of stranded angels shows up at their house for help finding a missing child, things are striking too close to home."
Tessa McDermid,Paperback,"
                  ",280 pages,2.71,Harlequin Everlasting Love #8,1052584,7,"
                  0373654103
                      ","Frank and Marian Robertson would tell you there's no easy answer. Love, yes, but more than that-- a willingness to be guided by love, to be changed by it... If Frank and Marian have a secret, that's it. When they met in 1929, they realized they were destined to spend the rest of their lives together. However, wanting a life together and making one are two different things. And the obstacles they faced-- parental disapproval, even tragedy-- sometimes seemed too much to bear. But through it all, Frank and Marian shared a love that's lasted, a love that affects everyone in their family, right down to their great-granddaughter Hannah. She's busy planning their seventy-fifth wedding anniversary, and is doing some digging into her family's past, her family's stories. Stories that explain what shaped her family..."
Alice Twemlow,Paperback,English,192 pages,4.0,Second Edition,1353111,5,StyleCity New York,"This exciting series focuses on the vitality and uniqueness of the world's greatest cities. Each volume is superbly designed and produced, yet ingeniously practical, with lavish photography, easy-to-read maps, and informed and enjoyable texts. "
Milan Kundera,Paperback,Italian,136 pages,3.29,Prima edizione mondiale,18713903,7514,La fête de l'insignifiance,. Chi conosce i libri di Kundera sa che il desiderio di incorporare in un romanzo una goccia di «non serietà» non è cosa nuova per lui. Nell'
Lonely Planet,Paperback,Spanish,480 pages,4.01,Spanish Edition,797,478,Londra,OUR STORY
Jules Verne,Paperback,English,239 pages,3.84,Heinle Reading Library Illustrated Classics Collection,1086172,112050,Voyage au centre de la Terre,Jules Gabriel Verne was a French author who pioneered the genre of science-fiction. He is best known for his novels 
Ian Fleming,Audio CD,English,0 pages,3.76,Abridged audio edition,944272,13578,Dr. No,"James Bond travels to the Caribbean to investigate the mysterious disappearance of a secret service team. As he uncovers the astonishing truth about strange energy waves that are interfering with U.S. missile launches, he must battle deadly assassins, sexy femmes fatales, and even a poisonous tarantula. The search takes him to an exotic tropical island, where he meets a beautiful nature girl and discovers the hideout of Doctor No, a six-foot-six madman with a mania for torture, a lust to kill, and a fantastic secret to hide."
Salman Rushdie,Paperback,English,547 pages,3.71,UK,14837,43246,The Satanic Verses,"Washed up, alive, on an English beach, their survival"
Jorge Semprún,Paperback,Spanish,380 pages,4.56,LIteraria,69862,9,L'Algarabie,"La revolución de mayo de 1968 a triunfado, y Francia es distinta de la que hoy conocemos... Exiliados españoles que siguen esperando la desaparición de Franco han establecido comunas libres en París, una de ellas encabezada por un viejo militante de la CNT: el personaje central de esta novela, la primera obra totalmente de ficción que escribe Semprún desde "
Danielle Steel,Paperback - Large Print,English,432 pages,3.87,Large Print,2926033,5318,A Good Woman,"Nineteen-year-old Annabelle Worthington was born into a life of privilege, raised amid the glamour of New York society, with glorious homes on Fifth Ave"
Lisa Scottoline,Audio CD,English,8 pages,3.71,Unabridged,1492580,7615,Daddy's Girl,"The unlikely heroine of this Lisa Scottoline thriller (which follows 2006's Dirty Blonde), mousy University of Pennsylvania assistant law professor Natalie ""Nat"" Greco, finds herself in way over her head when an unintended visit to a minimum-security prison in nearby Chester County puts her in the middle of a deadly uprising -- and places her at the center of an elaborate plot that involves an incarcerated crime boss and more than a few improbable conspirators."
Michel Foucault,Paperback,German,224 pages,3.96,Fischer Taschenbuch,2990010,1498,Naissance de la clinique,"Dieses Buch, so schrieb Foucault im Nachwort, ist ein Versuch, in dem so verworenen, so wenig und so schlecht strukturierten Bereich der Ideengeschichte zu einer Methode zu gelangen. Diese Methode, die Foucault als eine Archäologie der Humanwissenschaften begriff, operiert hier auf scheinbar schmaler historischer Basis: die Geschichte der Medizin an der Wende vom 18. zum 19. Jahrhundert. Es ist dies nicht nur die Epoche der Aufklärung und der Französischen Revolution, sondern auch eines dramatischen Wandels des menschlichen Selbstbildes, der zuallererst in der Medizin zu greifbaren Konsequenzen führt. Die Neuorganisation des Spitalwesens, die Entstehung der modernen Klinik und ihre Abkoppelung von den ärztlichen Praxen, die systematische Untersuchung von Leichnamen und die daraus resultierende pathologische Anatomie, die Entschleierung des Körperinnenraums und die neuen ärztlichen Fachsprachen - all dies entziffert Foucault als Anzeichen eines grundlegend neuen, rationalen Umgangs mit Krankheit und Tod. Die Krankheit ist nicht mehr das Unheil schlechthin, sondern ein endliches, körperliches Netz von Symptomen, das der ärztliche Blick leidenschaftslos freilegt. Der Tod ist nicht mehr metaphysischer Abgrund, sondern eine dem Körper inhärente Möglichkeit. Indem so die Medizin dem Menschen einen Spiegel radikaler Endlichkeit andauernd vorhält, rückt sie an einen zentralen Ort im System der Humanwissenschaften."
David J. Goldstein,Hardcover,English,426 pages,0.0,Second Edition,2095852,0,The Management of Eating Disorders and Obesity,"A panel of internationally recognized eating disorder experts has expanded and fully updated this widely acclaimed book to reflect recent scientific and therapeutic developments. Stressing human physiology, treatment, and disease prevention, the authors take advantage of the new molecular understanding of the biological regulation of energy. Updated chapters review specific evidence-based and future treatment modalities, present an objective evaluation of the treatment, and identify the positives and negatives that have been seen during clinical studies, as well as cumulative data derived from clinical practice. New chapters include material on the use of the internet in the education and treatment of eating disorders and obesity, and on the role of appetite and satiety in obesity treatment, particularly with regard to the carbohydrate diet."
Adam Warren,Paperback,English,104 pages,3.87,3rd Edition,1122077,82,Dirty Pair: Sim Hell 3rd Edition (Dirty Pair),"The Dirty Pair face their greatest challenge yet when Kei confronts the awesome horror of...her employee evaluation! It looks simple: simulations are generated by the Central Computer to test her responses, but when a mysterious malfunction traps Kei in virtual reality, Yuri must enter the sim to save her from a series of increasingly night-marish scenarios. From outer space to the ocean depths to the infinity of cyberspace, can Kei and Yuri survive the simulated -- but still lethal -- terrors of the apocalyptic Nanoclysm?"
Luis Sepúlveda,Paperback,Spanish,138 pages,4.09,Collección Andanzas,44016,9771,Historia de una gaviota y del gato que le enseñó a volar,"Historia de una gaviota y del gato que le enseno a volar: Luis Sepulveda prometio a sus hijos escribir una historia sobre la forma como los humanos lesionamos la naturaleza y a nosotros mismos. Asi nacio esta historia, que cuenta las aventuras de Zorbas, un gato ""grande, negro y gordo,"" que recibe en custodia el huevo de una moribunda madre gaviota atrapada por una ola de petroleo. Zorbas, que es gato de palabra, cumplira sus dos promesas: no solo criara al polluelo, sino que le ensenara a volar. Los amigos de Zorbas, Secretario, Sabelotodo, Barlovento y Colonello, le ayudaran en esa tarea que no es tan facil como parece, menos para una banda de gatos mas acostumbrada a hacer frente a la dura vida en el puerto de Hamburgo que a ejercer de padres de una cria de gaviota."
Jack Higgins,Audio CD,English,0 pages,3.84,Unabridged,2051065,2497,Dark Justice,"Fortunately, his attempt is not successful - but this is only the beginning. Someone is recruiting a shadowy network of agents with the intention of cr"
Voltaire,ebook,Italian,192 pages,3.76,Grandi Classici BUR,25003015,172895,Candide,"Il giovane Candido viaggia per il mondo, dall’America latina a Parigi a Costantinopoli, per ritrovare la donna amata. Attraversa terre ignote, incontra popoli sconosciuti, impara a conoscere l’animo umano come nessun precettore era stato in grado di insegnargli. Alla fine di questo lungo peregrinare, sceglierà di vivere in una fattoria, dedicandosi al suo lavoro, lontano dalle ambizioni del mondo. È un esilarante racconto di formazione, il capolavoro di Voltaire: l’Illuminismo più affilato e irriverente corre con leggerezza sulle pagine, fino a farci ridere, con la sua gaiezza infernale, delle miserie umane come di ogni filosofia e a farci scoprire l’esistenza di uno spazio di sopravvivenza per la fragilità e l’innocenza umane tra i mali e gli orrori del mondo."
F. Donald Logan,Paperback,English,224 pages,3.4,Second Edition,1698999,48,The Vikings in History,"The second edition of this lively and comprehensive book provides a forceful reassessment of the role of the Vikings in history. Drawing on archaeological, literary, as well as historical evidence, the author describes the Viking expeditions overseas, and their transformation from terrifying raiders to assimilated settlers whose rich culture played an influential role in European civilization."
Leo Tolstoy,Paperback,English,1392 pages,4.11,Oxford World's Classics,2674739,195036,Война и миръ,"Tolstoy's epic masterpiece intertwines the lives of private and public individuals during the time of the Napoleonic wars and the French invasion of Russia. The fortunes of the Rostovs and the Bolkonskys, of Pierre, Natasha, and Andrei, are intimately connected with the national history that is played out in parallel with their lives. Balls and soirees alternate with councils of war and the machinations of statesmen and generals, scenes of violent battles with everyday human passions in a work whose extraordinary imaginative power has never been surpassed. "
John D. Ramage,Hardcover,English,896 pages,3.33,Fourth Edition,246528,57,The Allyn & Bacon Guide to Writing,"The most successful college rhetoric published in over a decade, The Allyn & Bacon Guide to Writing offers the most progressive and teachable introduction now available to academic and personal writing. The four-color guide offers engaging instruction in rhetoric and composition, a flexible sequence of comprehensive writing assignments, numerous examples of student and professional writing, and thorough guides to research and editing. Solidly grounded in current theory and research, yet eminently practical and teachable, The Allyn & Bacon Guide to Writing has set the new standard for first-year composition courses in writing, reading, critical thinking, and inquiry."
Sandra Marton,Paperback,English,192 pages,3.49,"Harlequin Presents, No 1637",1433215,68,"Corsican Gambit (Harlequin Presents, No 1637)","I've been a writer, one way or another, all my life. Before I could read, I made up poems and my mom wrote them down for me. In elementary school, my teachers almost always let me write poems or stories instead of requiring me to do art projects. Always, I dreamed of becoming a published writer...and that dream came true! I write novels about sexy, powerful men and independent-minded women, and what happens when they find each other and fall in love. My books are sexy and romantic, and they've very often full of romantic suspense. I write the kinds of books I love to read, and I hope that makes my readers happy."
Chuck Toporek,Paperback,English,144 pages,3.25,Second Edition,2166510,4,Mac OS X Pocket Guide,"Known as Jaguar, Mac OS X 10.2 is a stunning technical achievement that has seduced Unix, Windows, and Mac OS 9 users. Adopting Jaguar is easy; mastering this new OS can take a bit more. And no matter how good your reference books are, you can't always stop to thumb through hundreds of pages to find the piece of information you need. Concise, easy to use, and thoroughly updated to cover Mac OS X 10.2, this new edition of the ""Mac OS X Pocket Guide"" introduces you to the fundamental concepts of Mac OS X. It also features a handy ""Mac OS X Survival Guide,"" that shows Mac users what's changed from Mac OS 9, and helps Windows and Unix converts get acclimated to their new OS."
F. Scott Fitzgerald,Paperback,English,176 pages,3.89,Twentieth Century Classics,385368,2801877,The Great Gatsby,--worldcat
Craig Halloran,ebook,"
                ",370 pages,4.02,1st Edition,13578604,187,9780982779941,"After tasting defeat at the hands of the mythic Darkslayer, the underling Lords Catten and Verbard are determined to once and for all eliminate this thorn in their side. But they’ll have to wait their turn …"
Chris Van Allsburg,Hardcover,English,32 pages,4.04,1st edition,884960,3092,The Garden of Abdul Gasazi,"Chris was born in Grand Rapids, Michigan on June 18, 1949, the second child of Doris Christiansen Van Allsburg and Richard Van Allsburg. His sister Karen was born in 1947. "
Leonard Bloomfield,Paperback,English,321 pages,3.5,Abridged,900140,4,A Leonard Bloomfield Anthology,"""Hockett has achieved his purpose—to reveal Bloomfield's way of working, the general principles that guided his work, and last, but by no means least, to indicate how Bloomfield's interests and"
Christian Jacq,Paperback,Spanish,304 pages,3.96,Booket oro,23675925,625,La Justice du Vizir,"La hora de la confrontación definitiva ha llegado. Pazair, ahora visir de Egipto, y su esposa Neferet, nombrada médico principal del reino, se enfrentan con el ministro de Economía, quien se erige en portavoz de los conjurados que se han adueñado del testamento de los dioses y que están a punto de derrocar a Ramsés el Grande. El alto funcionario, que se hacía pasar por amigo de Pazair, ha tejido una urdimbre tan espesa que la situación es desesperada;él y sus cómplices han desorganizado la economía y se proponen destruir los valores que han presidido el nacimiento de la civilización egipcia. Aunque los aliados escasean, el visir y su esposa, decididos a luchar hasta el final, tratan de identificar al asesino de su maestro espiritual, quien ha cometido el error de cruzarse en el camino de los facinerosos. ¿Dónde está el hermano de sangre, Suti, que ha logrado escapar de su prisión nubia? ¿Conseguirá el misterioso «devorador de sombras» eliminar a Pazair? ¿Quién es el alma verdadera del complot que se oculta en las tinieblas? ¿Quién, valiéndose de la traición, el crimen o la ley, saldrá vencedor de ese cruento combate del que depende la supervivencia de Egipto? La justicia del visir es el último volumen de la trilogía El juez de Egipto, cuyos dos primeros títulos, La pirámide asesinada y La ley del desierto, también han sido publicados por Editorial Planeta. Esta trilogía ha superado todas las previsiones de éxito y se ha convertido en un indiscutible bestseller."
John J. Macionis,Paperback,English,499 pages,3.41,Fifth Edition,1615607,291,Society: The Basics,"Society: The Basics, Fifth Edition, is now the first multimedia, interactive learning package in sociology. Computers and other new information technology are changing the way we learn, and Society: The Basics is now a twenty-first-century resource. The heart of the learning package, the book itself, comes with many new features, and in addition, the text is supported by two new, high technology resources, the CD-ROM and the Web site."
David  Randall,Hardcover,English,256 pages,3.84,Third Edition,1257385,239,The Universal Journalist,"In his career he has collaborated with British newspapers, Africans, Americans and Russians. He is senior editor of the ""Independent on Sunday"" in London."
Rosemary Randi,Paperback,Italian,144 pages,4.33,Narrativa contemporanea,21539872,3,Liquirizia. Sexy romance,"Dea non è una dea, ma una scrittrice, o, per lo meno, cerca di esserlo. Difficile impresa: sembra che gli aspiranti scrittori siano in aumento e, per giunta, le idee gliele ruba Woody Allen. Fra l’altro, sopra il suo appartamento, ereditato dalla zia che l’ha cresciuta, vivono due anziane amiche di questa, sempre pronte a dire la loro. Da aggiungere un’altra imprevista complicazione: un affascinante ex compagno di scuola, curioso di scrittura e di erotismo. Sullo sfondo un ambiente di provincia, un editore dagli espliciti diktat, e Little Tony."
Baruch Spinoza,Paperback,French,378 pages,4.01,"Oeuvres, tome 3",980184,9980,Ethica: Ordine geometrico demonstrata," is undoubtedly Spinoza’s greatest work—a fully cohesive philosophical system that strives to provide a coherent picture of reality & to comprehend the meaning of an ethical life. Following a logical step-by-step format, it defines in turn the nature of God, the mind, human bondage to the emotions & the power of unde"
Roald Dahl,Paperback,English,190 pages,4.1,Film tie-in ed.,73811,497010,Charlie and the Chocolate Factory,"But only five lucky children will be allowed inside. And the winners are: Augustus Gloop, an enormously fat boy whose hobby is eating; Veruca Salt, a spoiled-rotten brat whose parents are wrapped around her little finger; Violet Beauregarde, a dim-witted gum-chewer with the fastest jaws around; Mike Teavee, a toy pi"
Mary Renault,Mass Market Paperback,English,403 pages,4.01,Bantam Edition X7428,1105831,5393,The King Must Die,"Mary Renault was an English writer best known for her historical novels set in Ancient Greece. In addition to vivid fictional portrayals of Theseus, Socrates, Plato and Alexander the Great, she wrote a non-fiction biography of Alexander."
Elting E. Morison,Hardcover,English,686 pages,3.56,Book Club edition,1498113,9,Turmoil And Tradition: A Study of the Life and Times of Henry L. Stimson, Elting Morison has written a wise and subtle exploration of American life and society. Just as Lord David Cecil laid open an era in his 
Dale Brown,Audio CD,English,0 pages,3.98,Abridged,7030241,1849,Strike Force,"On the run from the Pasdaran, the theocrat's terror army, and unable to count on support from his friends in the regular army, Iranian rebel leader M"
Bronwyn Jameson,Paperback,Spanish,160 pages,3.1," (Harlequin Deseo, #1109)",2205479,87,In Bed with the Boss's Daughter ,"Jack Manning, el duro hombre de negocios, no había vuelto a ver a Paris Graham desde la noche en la que había rechazado su invitación para acabar con su virginidad. Aunque la oferta era más que tentadora, Manning no había podido obviar el hecho de que aquella joven de dieciocho años era la hija de su jefe. Desde entonces la seductora belleza había estado viviendo en Londres, pero ahora había vuelto..."
Livy,Paperback,"
                  ",740 pages,4.13,Oxford World's Classics,40008,3007,"
                  0192831593
                      "," Livy's gripping storytelling vividly conveys the drama of the great battles, and individuals as well as events are brought powerfully to slife."
E.M. Delafield,Audio Cassette,English,0 pages,3.96,"BBC Radio Collection, Abridged",860196,3012,Diary of a Provincial Lady,"The Diary of a Provincial Lady is a brilliantly observed comic novel, as funny and fresh today as when it was first written. It's not easy being a Provincial Lady in Devonshire in the 1920s, juggling a grumpy husband, mischievous children and a host of domestic dilemmas - from rice mould to a petulant cook. But this Provincial Lady will not be defeated; not by wayward flower bulbs, not by unexpected houseguests, not even by the Blitz. She will continue to preside over the W.I., endure rain-drenched family picnics and succeed as a published author, all the while tending to her strawberries."
Franz Kafka,Paperback,Spanish,224 pages,3.98," Clásicos de la literatura,18",59181,161242,Der Prozeß,"El Proceso es la novela principal de Franz Kafka, el testimonio aterrador de un inocente a quien absurdamente la justicia pretende culpabilizar. El protagonista siente sobre sí el peso de una organización social deshumanizada que acaba destruyendo al desorientado y agonizante sujeto. El relato se desenvuelve en ese clima de pesadilla que Kafka supo evocar con maestría inigualable."
Pedro Carmona-Alvarez,Hardcover,"Bokmål, Norwegian; Norwegian Bokmål",232 pages,4.1,1st edition,16156051,168,Og været skiftet og det ble sommer og så videre,Hun er fra Oslo.
Herman Wouk,Paperback,English,408 pages,3.92,2nd U.S. Paperback Printing,2589654,2449,Don't Stop the Carnival,". This is Herman Wouk's authentic picture of hotel-keeper Norman Paperman, discovering a new illicit love with a fading film star, amid zany mishaps and disasters recognizable to anyone who has lived on an island in th"
James W. Sire,Paperback,English,259 pages,3.9,Fourth Edition,56647,3088,The Universe Next Door: A Basic Worldview Catalog,"When The Universe Next Door was first introduced nearly thirty years ago, it set the standard for a clear, readable introduction to worldviews. In concise, easily understood prose, James W. Sire explained the basics of theism, deism, naturalism, nihilism, existentialism, Eastern monism and the new consciousness.The second edition was updated and expanded to include sections on Marxism and secular humanism, as well as a completely reworked chapter on what is now widely known as New Age philosophy rather than new consciousness. And the third edition offered further updating and revisions, including a thoroughly revised chapter on New Age philosophy and, perhaps most importantly, a new chapter on postmodernism.Now the fourth edition refines the definition of worldview itself, incorporating Sire's thinking and teaching during the past decade. (His recent work is showcased in a new book, Naming the Elephant, also published by IVP.) The Universe Next Door has been translated into several languages and has been used as a text at over one hundred colleges and universities in courses ranging from apologetics and world religions to history and English literature. With the publication of the fourth edition, this book will continue to aid students, teachers and anyone who wants to understand the variety of worldviews that compete with Christianity for the allegiance of our minds and hearts."
David Allen Sleper,Hardcover,English,432 pages,4.64,5th Edition,1746717,14,Breeding Field Crops,"Long recognized as the standard work in its field, this fifth edition of Breeding Field Crops deals with worldwide advances in plant breeding science and practice in recent years. Building on the foundations of earlier editions, this thoroughly revised volume includes expanded coverage on the role increased knowledge of genetics plays in the development of new crop cultivars, and fully explores exciting new developments in molecular biology."
Robert Lacey,Audio Cassette,English,0 pages,3.89,Abridged,3043569,160,Majesty: Elizabeth II and the House of Windsor, and watches 
Henry James,Audio,English,3 pages,3.67,Abridged,1839377,14716,Washington Square,"Awkward and shy, favored by neither beauty nor brilliance, Catherine Sloper is a disappointment to her father, Dr. Austin Sloper, whose beautiful, intelligent wife died shortly after childbirth. When a handsome but ruthless young suitor appears on the scene, Dr. Sloper is convinced he is only after Catherine's fortune. He alternately threatens and beguiles her out of a growing affection, forcing Catherine to make a fateful choice -- and discovering in her a pale reflection of his own grim and stubborn nature."
Maura Seger,Paperback,English,308 pages,3.93,"Tapestry Romance, #2",1498124,28,Defiant Love ,"Maura Seger was born in 1951. She and her husband, Michael, met while they were both working for the same company. They married after a whirlwind courtship that might have been taken directly from romance novel. She credits her husband's patient support and good humor for helping her fulfill the lifelong dream of being a writer."
Jeph Loeb,Cofre,"
                  ",1160 pages,3.67,Grandes autores de Batman,18160093,6,"Batman The Long Halloween, Batman Dark Victory, Batman Haunted Knight y Catwoman: When in Rome","Convertido en uno de los equipos creativos por excelencia del cómic norteamericano, el tándem formado por Jeph Loeb y Tim Sale ocupa un lugar de privilegio en la lista de autores que durante las últimas décadas han enriquecido la mitología del Hombre Murciélago. Una consideración que se ganaron a pulso gracias a la multipremiada Batman: El largo Halloween y su secuela Batman: Victoria Oscura; pero que también encuentra justificación en otros proyectos como Batman: Caballero Maldito y Catwoman: Si vas a Roma. Títulos, todos ellos, ahora reunidos en un lujoso cofre, recordatorio de la imborrable huella que han dejado en las calles de Gotham City."
Dave Ellis,Paperback,English,125 pages,4.0,Third Edition,3311984,1,Career Planning,"This versatile, brief text can be used as a supplement within an established student success course or as a stand-alone text in any course, seminar, or workshop that emphasizes career and life planning. The book's emphasis on planning makes it different from typical job-hunting guides. Most of the pages are devoted to helping students figure out how to find rewarding work they can be passionate about, with somewhat less attention given to the mechanics of job-hunting."
Katherine Paterson,Hardcover,English,120 pages,3.43,First Edition,215065,381,Flip-Flop Girl,From author's website:
Joe Bindloss,Paperback,"
                  ",280 pages,3.92,1st edition,3143431,12,"
                  1741044855
                      ",Shop like a local at Kuala Lumpur's Pudu Market before retiring to Jin Bukit Bintang for a Chinese massage
Ruth Wind,Paperback,English,256 pages,3.93,Silhouette Intimate Moments #796,602144,59,Reckless ,It was only in the arms of Ramona Hardy that Jake found peace. But the small-town doctor h
William Shakespeare,Paperback,English,102 pages,3.94,Oxford School Shakespeare,6670482,364181,A Midsummer Night's Dream,"Shakespeare's intertwined love polygons begin to get complicated from the start--Demetrius and Lysander both want Hermia but she only has eyes for Lysander. Bad news is, Hermia's father wants Demetrius for a son-in-law. On the outside is Helena, whose unreturned love burns hot for Demetrius. Hermia and Lysander plan to flee from the city under cover of darkness but are pursued by an enraged Demetrius (who is himself pursued by an enraptured Helena). In the forest, unbeknownst to the mortals, Oberon and Titania (King and Queen of the faeries) are having a spat over a servant boy. The plot twists up when Oberon's head mischief-maker, Puck, runs loose with a flower which causes people to fall in love with the first thing they see upon waking. Throw in a group of labourers preparing a play for the Duke's wedding (one of whom is given a donkey's head and Titania for a lover by Puck) and the complications become fantastically funny."
Jules Verne,Hardcover,English,394 pages,3.86,"Extraordinary Voyages, #6",3140930,149950,Vingt Mille Lieues Sous les Mers,Jules Gabriel Verne was a French author who pioneered the genre of science-fiction. He is best known for his novels 
Emma McLaughlin,Audio Cassette,English,0 pages,2.4,Abridged,2305997,5977,Citizen Girl,"My partner, Nicki, and I have been writing together for 12 years. We're obsessed by what makes a satisfying story. I'm excited to hear from our readers what does it for them -- and what doesn't. As a working mom, the only book time I manage to steal these days is right before bed. I'm not the girl who can watch SVU and go to sleep with a smile. Ruling out kids/the economy/the world in peril as sub"
Agatha Christie,Hardcover,English,179 pages,3.89,The Agatha Christie Mystery Collection,589497,23462,Peril at End House, Poirot has taken a particular interest in the young woman who has recently narrowly escaped a series of life-threatening accidents. Something tells the Belgian sleuth that these so
Forrest E. Baird,Paperback,English,1217 pages,3.72,4th,30573,85,Philosophic Classics: From Plato to Derrida,"First published in 1961, Forrest E. Baird's revision of Philosophic Classics continues the tradition of providing generations of students with high quality course material. Using the complete works, or where appropriate, complete sections of works, this anthology allows philosophers to speak directly to students. Esteemed for providing the best available translations, Philosophic Classics: From Plato to Derrida, features complete works or complete sections of the most important works by the major thinkers, as well as shorter samples from transitional thinkers."
Gayle Wilson,Paperback,English,256 pages,3.46,Harlequin Intrigue #685,1816662,24,Rafe Sinclair's Revenge  ,"The destruction of the U.S. embassy in Amsterdam had left ex-CIA operative Rafe Sinclair with flashbacks of the unspeakable horrors he'd witnessed that night, and forced him to abandon the job he'd dedicated his life to. His only consolation had been that the terrorist behind the attack was dead -- killed by Rafe's own hand."
Hunter S. Thompson,Paperback,English,204 pages,4.08,Second Vintage Books Edition,894834,243742,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,"Hunter Stockton Thompson was an American journalist and author, famous for his book "
Michael Moorcock,Paperback,English,173 pages,3.85,Sixth Printing,3346751,1728,Sword of the Dawn," Moorcock has mentioned The Gods of Mars by Edgar Rice Burroughs, The Apple Cart by George Bernard Shaw and The Constable of St. Nicholas by Edward Lester Arnold as the first three books which captured his imagination. He became editor of Tarzan Adventures in 1956,"
